iot_172.16.7.10 ext_199.198.197.196 sport_6.59492 dport_6.4567 sizeBin_M
iot_172.16.7.12 ext_199.198.197.196 sport_6.33958 dport_6.4567 sizeBin_M
iot_172.16.7.11 ext_199.198.197.196 sport_6.46296 dport_6.4567 sizeBin_M
iot_172.16.6.12 ext_199.198.197.196 sport_6.45926 dport_6.4567 sizeBin_M
iot_172.16.5.10 ext_199.198.197.196 sport_6.36028 dport_6.4567 sizeBin_M
iot_172.16.5.12 ext_199.198.197.196 sport_6.59242 dport_6.4567 sizeBin_M
iot_172.16.4.7 ext_199.198.197.196 sport_6.58394 dport_6.4567 sizeBin_M
iot_172.16.4.12 ext_199.198.197.196 sport_6.51386 dport_6.4567 sizeBin_M
iot_172.16.2.3 ext_199.198.197.196 sport_6.34074 dport_6.4567 sizeBin_M
iot_172.16.2.6 ext_199.198.197.196 sport_6.47568 dport_6.4567 sizeBin_M
iot_172.16.1.10 ext_199.198.197.196 sport_6.53270 dport_6.4567 sizeBin_M
iot_172.16.7.13 ext_199.198.197.196 sport_6.42038 dport_6.4567 sizeBin_M
iot_172.16.7.10 ext_199.198.197.196 sport_6.59492 dport_6.4567 sizeBin_M
iot_172.16.7.12 ext_199.198.197.196 sport_6.33958 dport_6.4567 sizeBin_M
iot_172.16.7.11 ext_199.198.197.196 sport_6.46296 dport_6.4567 sizeBin_M
iot_172.16.6.12 ext_199.198.197.196 sport_6.45926 dport_6.4567 sizeBin_M
iot_172.16.5.10 ext_199.198.197.196 sport_6.36028 dport_6.4567 sizeBin_M
iot_172.16.5.12 ext_199.198.197.196 sport_6.59242 dport_6.4567 sizeBin_M
iot_172.16.4.7 ext_199.198.197.196 sport_6.58394 dport_6.4567 sizeBin_M
iot_172.16.4.12 ext_199.198.197.196 sport_6.51386 dport_6.4567 sizeBin_M
iot_172.16.3.7 ext_192.168.1.158 sport_6.26651 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_192.168.1.156 sport_6.47830 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_192.168.1.160 sport_6.15218 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_192.168.1.152 sport_6.44174 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_192.168.1.154 sport_6.63091 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_192.168.1.157 sport_6.7332 dport_6.4567 sizeBin_S
iot_172.16.2.3 ext_199.198.197.196 sport_6.34074 dport_6.4567 sizeBin_M
iot_172.16.2.6 ext_199.198.197.196 sport_6.47568 dport_6.4567 sizeBin_M
iot_172.16.1.10 ext_199.198.197.196 sport_6.53270 dport_6.4567 sizeBin_M
iot_172.16.7.13 ext_199.198.197.196 sport_6.42038 dport_6.4567 sizeBin_M
iot_172.16.7.10 ext_199.198.197.196 sport_6.59492 dport_6.4567 sizeBin_M
iot_172.16.7.11 ext_199.198.197.196 sport_6.46296 dport_6.4567 sizeBin_M
iot_172.16.7.12 ext_199.198.197.196 sport_6.33958 dport_6.4567 sizeBin_M
iot_172.16.6.14 ext_192.168.1.155 sport_6.30598 dport_6.4567 sizeBin_S
iot_172.16.6.12 ext_199.198.197.196 sport_6.45926 dport_6.4567 sizeBin_M
iot_172.16.6.14 ext_192.168.1.156 sport_6.26789 dport_6.4567 sizeBin_S
iot_172.16.6.14 ext_192.168.1.157 sport_6.22995 dport_6.4567 sizeBin_S
iot_172.16.6.14 ext_192.168.1.152 sport_6.2580 dport_6.4567 sizeBin_S
iot_172.16.5.10 ext_199.198.197.196 sport_6.36028 dport_6.4567 sizeBin_M
iot_172.16.5.12 ext_199.198.197.196 sport_6.59242 dport_6.4567 sizeBin_M
iot_172.16.4.7 ext_199.198.197.196 sport_6.58394 dport_6.4567 sizeBin_M
iot_172.16.4.12 ext_199.198.197.196 sport_6.51386 dport_6.4567 sizeBin_M
iot_172.16.3.7 ext_192.168.1.155 sport_6.39865 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_192.168.1.161 sport_6.36495 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_199.198.197.196 sport_6.35285 dport_6.4567 sizeBin_S
iot_172.16.3.7 ext_199.198.197.196 sport_6.33712 dport_6.4567 sizeBin_M
iot_172.16.2.3 ext_199.198.197.196 sport_6.34074 dport_6.4567 sizeBin_M
iot_172.16.2.6 ext_199.198.197.196 sport_6.47568 dport_6.4567 sizeBin_M
iot_172.16.1.10 ext_199.198.197.196 sport_6.53270 dport_6.4567 sizeBin_M
iot_172.16.7.13 ext_199.198.197.196 sport_6.42038 dport_6.4567 sizeBin_M
iot_172.16.7.10 ext_199.198.197.196 sport_6.59492 dport_6.4567 sizeBin_M
iot_172.16.7.12 ext_199.198.197.196 sport_6.33958 dport_6.4567 sizeBin_M
iot_172.16.7.11 ext_199.198.197.196 sport_6.46296 dport_6.4567 sizeBin_M
iot_172.16.6.14 ext_192.168.1.159 sport_6.48215 dport_6.4567 sizeBin_S
iot_172.16.6.14 ext_192.168.1.162 sport_6.21813 dport_6.4567 sizeBin_S
iot_172.16.6.14 ext_192.168.1.158 sport_6.20599 dport_6.4567 sizeBin_S
iot_172.16.6.14 ext_192.168.1.161 sport_6.62677 dport_6.4567 sizeBin_S
iot_172.16.6.14 ext_199.198.197.196 sport_6.36047 dport_6.4567 sizeBin_S
iot_172.16.6.14 ext_199.198.197.196 sport_6.39682 dport_6.4567 sizeBin_M
iot_172.16.6.12 ext_199.198.197.196 sport_6.45926 dport_6.4567 sizeBin_M
iot_172.16.5.10 ext_199.198.197.196 sport_6.36028 dport_6.4567 sizeBin_M
iot_172.16.5.12 ext_199.198.197.196 sport_6.59242 dport_6.4567 sizeBin_M
iot_172.16.4.7 ext_199.198.197.196 sport_6.58394 dport_6.4567 sizeBin_M
iot_172.16.4.12 ext_199.198.197.196 sport_6.51386 dport_6.4567 sizeBin_M
iot_172.16.3.7 ext_199.198.197.196 sport_6.33712 dport_6.4567 sizeBin_M
iot_172.16.2.3 ext_199.198.197.196 sport_6.34074 dport_6.4567 sizeBin_M
iot_172.16.2.6 ext_199.198.197.196 sport_6.47568 dport_6.4567 sizeBin_M
iot_172.16.1.10 ext_199.198.197.196 sport_6.53270 dport_6.4567 sizeBin_M
iot_172.16.7.13 ext_199.198.197.196 sport_6.42038 dport_6.4567 sizeBin_M
iot_172.16.7.10 ext_199.198.197.196 sport_6.59492 dport_6.4567 sizeBin_M
iot_172.16.7.12 ext_199.198.197.196 sport_6.33958 dport_6.4567 sizeBin_M
iot_172.16.7.11 ext_199.198.197.196 sport_6.46296 dport_6.4567 sizeBin_M
iot_172.16.6.14 ext_199.198.197.196 sport_6.39682 dport_6.4567 sizeBin_M
iot_172.16.6.3 ext_192.168.1.154 sport_6.38082 dport_6.4567 sizeBin_S
iot_172.16.6.3 ext_192.168.1.153 sport_6.36572 dport_6.4567 sizeBin_S
iot_172.16.6.12 ext_199.198.197.196 sport_6.45926 dport_6.4567 sizeBin_M
iot_172.16.6.3 ext_192.168.1.158 sport_6.9553 dport_6.4567 sizeBin_S
