intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.2.6,172.16.4.4,6,22,0,40644,10,10,1968,1472,0,10,1578122868.019266
172.16.2.6,172.16.4.5,6,22,0,35408,12,14,1770,1688,1,10,1578122868.019694
172.16.2.6,172.16.4.5,6,22,0,35406,10,11,1112,1524,0,9,1578122868.01977
172.16.2.6,172.16.4.12,6,22,0,59162,12,12,1498,1584,1,10,1578122868.021151
172.16.2.6,172.16.4.12,6,22,0,59164,12,12,1498,1584,1,10,1578122868.023678
172.16.2.6,192.201.155.205,6,9224,1,10829,1,1,40,40,1,0,1578122868.030007
172.16.2.6,172.16.6.13,6,22,0,59386,12,14,1770,1688,1,10,1578122868.030121
172.16.2.6,172.16.6.13,6,22,0,59388,11,13,1718,1636,1,10,1578122868.033782
172.16.2.6,172.16.3.6,6,22,0,45398,12,13,1770,1636,1,10,1578122868.034332
172.16.2.6,172.16.4.4,6,22,0,40642,8,7,1905,1212,0,9,1578122868.034669
172.16.2.6,172.16.3.6,6,22,0,45400,12,13,1770,1636,1,10,1578122868.03723
172.16.2.6,172.16.3.4,6,22,0,47534,11,12,1172,1584,1,9,1578122868.0389
172.16.2.6,172.16.6.4,6,22,0,55504,7,8,956,592,0,6,1578122868.040879
172.16.2.6,172.16.7.5,6,22,0,57622,7,8,956,592,0,6,1578122868.054125
172.16.2.6,172.16.7.5,6,22,0,57620,7,8,956,592,0,6,1578122868.054189
172.16.2.6,172.16.5.5,6,22,0,56808,7,8,956,592,0,6,1578122868.058044
172.16.2.6,172.16.5.5,6,22,0,56810,7,8,956,592,0,6,1578122868.059025
172.16.2.6,172.16.6.4,6,22,0,55502,6,8,456,592,0,5,1578122868.087742
172.16.2.6,172.16.3.4,6,22,0,47536,12,11,1770,1532,1,10,1578122868.108077
172.16.2.3,95.61.224.106,6,1648,1,36276,1,1,40,40,1,0,1578122868.134195
172.16.2.2,192.234.91.226,6,8887,1,39642,1,1,40,40,1,0,1578122868.13807
172.16.2.3,223.72.119.98,6,364,1,31007,1,1,40,40,1,0,1578122869.318726
172.16.2.13,140.74.69.65,6,8404,1,33860,1,1,40,40,1,0,1578122869.353268
172.16.2.14,172.16.1.11,6,22,1,39472,14,11,1688,1270,1,9,1578122870.052602
172.16.2.14,172.16.1.11,6,22,1,39474,14,11,1688,1270,1,9,1578122870.053366
172.16.2.8,172.16.6.8,6,22,0,34964,12,13,1770,1636,1,10,1578122870.089263
172.16.2.8,172.16.6.8,6,22,0,34966,12,13,1770,1636,1,10,1578122870.089463
172.16.2.8,172.16.4.5,6,22,0,49754,11,12,1718,1504,1,9,1578122870.089772
172.16.2.8,172.16.4.5,6,22,0,49756,10,14,1218,1688,1,9,1578122870.091709
172.16.2.8,172.16.6.13,6,22,0,37972,12,13,1770,1636,1,10,1578122870.09374
172.16.2.8,172.16.6.13,6,22,0,37974,11,12,1270,1488,1,8,1578122870.096828
172.16.2.8,172.16.7.3,6,22,0,34146,12,13,1770,1636,1,10,1578122870.102794
172.16.2.8,172.16.7.3,6,22,0,34148,11,12,1654,1520,1,8,1578122870.10529
172.16.2.8,172.16.1.12,6,22,0,37002,12,14,1770,1688,1,10,1578122870.10645
172.16.2.8,172.16.1.12,6,22,0,37004,12,13,1770,1636,1,10,1578122870.108829
172.16.2.8,172.16.5.6,6,22,0,37254,12,14,2505,1688,1,11,1578122870.113754
172.16.2.8,172.16.5.6,6,22,0,37256,12,14,2505,1688,1,11,1578122870.116258
172.16.2.8,172.16.6.4,6,22,0,50300,10,11,1602,1436,1,8,1578122870.116738
172.16.2.8,172.16.6.4,6,22,0,50302,8,11,1050,1452,1,7,1578122870.118039
172.16.2.8,172.16.1.3,6,22,0,51082,9,13,885,1636,1,10,1578122870.119232
172.16.2.8,172.16.1.3,6,22,0,51084,9,12,844,1584,1,9,1578122870.121747
172.16.2.8,172.16.6.9,6,22,0,57470,10,13,1666,1636,1,10,1578122870.127356
172.16.2.8,172.16.6.9,6,22,0,57472,12,11,1770,1516,1,9,1578122870.130543
172.16.2.9,192.168.1.40,6,22,1,40324,12,12,1760,1738,1,10,1578122870.2214
