intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.7.5,172.16.2.6,6,22,1,55834,5,7,436,956,0,6,1578122153.113078
172.16.7.5,172.16.2.6,6,22,1,55832,5,7,436,956,0,6,1578122153.114335
172.16.7.12,191.209.188.28,6,4931,1,54086,1,1,40,40,1,0,1578122154.961835
172.16.7.5,119.83.70.150,6,6934,1,16780,1,1,40,40,1,0,1578122155.875214
172.16.7.12,201.21.99.213,6,9552,1,34044,1,1,40,40,1,0,1578122155.941214
172.16.7.4,101.140.178.196,6,3390,1,4663,1,1,40,40,1,0,1578122155.980341
172.16.7.7,21.46.117.178,6,2661,1,40257,1,1,40,40,1,0,1578122157.653936
172.16.7.4,111.81.191.110,6,875,1,64493,1,1,40,40,1,0,1578122157.934693
172.16.7.3,198.75.139.7,6,2877,1,22591,1,1,40,40,1,0,1578122158.034728
172.16.7.4,192.168.1.40,6,22,1,57586,12,12,1760,1738,1,10,1578122159.513616
172.16.7.4,192.168.1.40,6,22,1,57588,12,12,1760,1738,1,10,1578122159.516638
172.16.7.4,23.10.220.154,6,1618,1,30082,1,1,40,40,1,0,1578122160.005045
172.16.7.6,87.131.7.57,6,618,1,56519,1,1,40,40,1,0,1578122160.060565
172.16.7.4,192.168.1.18,6,22,1,56408,11,12,1708,1730,1,10,1578122160.426173
172.16.7.4,192.168.1.18,6,22,1,56410,12,12,1760,1730,1,10,1578122160.426741
172.16.7.3,242.13.208.67,6,1801,1,42674,1,1,40,40,1,0,1578122162.756148
172.16.7.5,172.16.2.6,6,22,1,55840,12,12,1584,1770,1,10,1578122163.040888
172.16.7.5,172.16.2.6,6,22,1,55842,12,12,1584,1770,1,10,1578122163.041121
172.16.7.12,167.0.41.242,6,8230,1,55950,1,1,40,40,1,0,1578122165.166197
172.16.7.9,37.41.157.50,6,4384,1,50943,1,1,40,40,1,0,1578122165.184373
172.16.7.4,243.106.154.60,6,8494,1,37461,1,1,40,40,1,0,1578122165.27262
172.16.7.10,148.126.220.219,6,2292,1,39451,1,1,40,40,1,0,1578122165.276349
172.16.7.12,30.247.189.55,6,2991,1,50864,1,1,40,40,1,0,1578122166.342957
172.16.7.6,74.153.90.169,6,6753,1,18840,1,1,40,40,1,0,1578122167.971217
172.16.7.3,205.198.227.227,6,5364,1,24893,1,1,40,40,1,0,1578122167.973905
