intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.4.5,172.16.1.9,6,22,1,36928,13,12,1636,1770,1,10,1578123245.160097
172.16.4.5,172.16.1.9,6,22,1,36930,13,12,1636,1770,1,10,1578123245.160174
172.16.4.9,172.16.1.9,6,22,1,59060,14,12,1688,1770,1,10,1578123245.170913
172.16.4.9,172.16.1.9,6,22,1,59062,13,12,1636,1770,1,10,1578123245.171178
172.16.4.11,43.249.138.15,6,1620,1,8071,1,1,40,40,1,0,1578123245.287738
172.16.4.2,16.67.179.201,6,2070,1,17577,1,1,40,40,1,0,1578123245.340686
172.16.4.5,172.16.2.8,6,22,1,51282,14,12,1688,1770,1,10,1578123245.409167
172.16.4.5,172.16.2.8,6,22,1,51284,14,12,1688,1770,1,10,1578123245.409562
172.16.4.4,172.16.3.14,6,22,1,35550,13,12,1636,2121,1,11,1578123245.490631
172.16.4.4,172.16.3.14,6,22,1,35552,13,12,1636,2121,1,11,1578123245.491159
172.16.4.9,172.16.3.14,6,22,1,52496,14,12,1688,1770,1,10,1578123245.592129
172.16.4.9,172.16.3.14,6,22,1,52498,14,12,1688,1770,1,10,1578123245.610345
172.16.4.14,172.16.3.14,6,22,1,53568,14,12,1688,1770,1,10,1578123245.629219
172.16.4.14,172.16.3.14,6,22,1,53570,14,12,1688,1770,1,10,1578123245.636755
172.16.4.13,172.16.1.4,6,22,0,59808,12,13,1770,1636,1,10,1578123246.335147
172.16.4.13,172.16.1.4,6,22,0,59810,12,13,1770,1636,1,10,1578123246.335453
172.16.4.13,172.16.6.13,6,22,0,37356,12,13,1770,1636,1,10,1578123246.335864
172.16.4.13,172.16.6.13,6,22,0,37358,12,13,1770,1636,1,10,1578123246.336336
172.16.4.13,172.16.1.12,6,22,0,39106,12,13,1770,1636,1,10,1578123246.339296
172.16.4.13,172.16.1.12,6,22,0,39108,12,13,1770,1636,1,10,1578123246.342247
172.16.4.13,172.16.1.3,6,22,0,59852,11,14,2069,1688,1,11,1578123246.349039
172.16.4.13,172.16.1.3,6,22,0,59854,12,14,2121,1688,1,11,1578123246.351932
172.16.4.13,172.16.2.13,6,22,0,50736,12,13,1770,1636,1,10,1578123246.355002
172.16.4.13,172.16.2.13,6,22,0,50738,12,13,1770,1636,1,10,1578123246.356623
172.16.4.13,172.16.6.8,6,22,0,36566,12,13,1770,1636,1,10,1578123246.356977
172.16.4.13,172.16.6.8,6,22,0,36568,12,13,1770,1636,1,10,1578123246.35901
172.16.4.11,172.16.5.14,6,22,1,49824,13,12,1636,1770,1,10,1578123246.616508
172.16.4.11,172.16.5.14,6,22,1,49826,14,12,1688,1770,1,10,1578123246.616539
172.16.4.2,172.16.2.8,6,22,1,26968,1,1,40,40,1,0,1578123246.635267
172.16.4.7,241.38.19.65,6,4258,1,22652,1,1,40,40,1,0,1578123246.675204
172.16.4.10,172.16.5.200,6,22,0,46809,0,1,0,40,1,0,1578123246.869041
172.16.4.10,172.16.6.146,6,22,0,30324,0,1,0,40,1,0,1578123246.871467
172.16.4.10,172.16.3.205,6,22,0,18750,0,1,0,40,1,0,1578123246.873602
172.16.4.5,192.168.1.40,6,22,1,32910,12,12,1760,1730,1,10,1578123246.89468
172.16.4.5,192.168.1.40,6,22,1,32912,12,12,1760,1730,1,10,1578123246.896277
172.16.4.11,192.168.1.40,6,22,1,38012,12,12,1760,1730,1,10,1578123246.906372
172.16.4.11,192.168.1.40,6,22,1,38014,12,12,1760,1738,1,10,1578123246.909923
172.16.4.9,192.168.1.40,6,22,1,56270,11,12,1708,1730,1,10,1578123246.959735
172.16.4.9,192.168.1.40,6,22,1,56272,12,12,1760,1730,1,10,1578123246.961691
172.16.4.11,172.16.6.10,6,22,1,45458,14,12,1688,1770,1,10,1578123247.223793
172.16.4.11,172.16.6.10,6,22,1,45460,13,12,1636,1770,1,10,1578123247.227716
172.16.4.12,172.19.75.109,6,38468,1,4567,4,4,220,228,0,4,1578123247.229736
172.16.4.5,172.16.6.10,6,22,1,35002,14,12,1688,1770,1,10,1578123247.233954
172.16.4.5,172.16.6.10,6,22,1,35004,13,12,1636,1770,1,10,1578123247.236047
172.16.4.5,172.16.6.12,6,22,1,39614,14,12,1688,1770,1,10,1578123247.529772
172.16.4.5,172.16.6.12,6,22,1,39616,12,12,1584,1770,1,10,1578123247.541781
172.16.4.9,172.16.5.13,6,22,1,56694,14,12,1688,1770,1,10,1578123247.714934
172.16.4.9,172.16.5.13,6,22,1,56696,14,12,1688,1770,1,10,1578123247.72982
172.16.4.11,172.16.5.13,6,22,1,39262,14,12,1688,1770,1,10,1578123247.739136
172.16.4.11,172.16.5.13,6,22,1,39264,14,12,1688,1762,1,10,1578123247.747434
172.16.4.7,193.197.177.118,6,4388,1,8275,1,1,40,40,1,0,1578123247.812009
172.16.4.10,183.220.40.177,6,4004,1,62291,1,1,40,40,1,0,1578123247.834325
172.16.4.4,172.16.5.13,6,22,1,40204,12,12,1584,2121,1,11,1578123247.842527
172.16.4.11,7.151.35.207,6,8372,1,36632,1,1,40,40,1,0,1578123247.84596
172.16.4.4,172.16.5.13,6,22,1,40206,12,12,1584,2121,1,11,1578123247.860157
172.16.4.12,172.16.2.212,6,22,0,28550,0,1,0,40,1,0,1578123248.043607
172.16.4.12,172.16.5.150,6,22,0,27554,0,1,0,40,1,0,1578123248.045438
