intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.3.6,172.16.5.12,6,22,1,35400,2,1,104,52,0,0,1577189731.557558
172.16.3.6,172.16.5.14,6,22,1,51598,14,12,1688,1770,1,10,1577189731.641956
172.16.3.14,158.96.198.156,6,2271,1,63001,1,1,40,40,1,0,1577189731.642736
172.16.3.6,172.16.5.14,6,22,1,51600,14,12,1688,1770,1,10,1577189731.643301
172.16.3.4,18.161.65.171,6,1459,1,8458,1,1,40,40,1,0,1577189731.689187
172.16.3.5,172.16.6.11,6,22,1,50364,14,12,1688,1770,1,10,1577189731.732118
172.16.3.5,172.16.6.11,6,22,1,50366,14,12,1688,1770,1,10,1577189731.735212
172.16.3.10,172.16.5.14,6,22,1,51866,14,12,1688,1770,1,10,1577189731.744346
172.16.3.10,172.16.5.14,6,22,1,51868,14,12,1688,1770,1,10,1577189731.776293
172.16.3.4,172.16.6.11,6,22,1,42758,14,12,1688,1770,1,10,1577189731.794885
172.16.3.12,172.19.75.109,6,52632,1,4567,3,4,168,228,0,4,1577189731.812758
172.16.3.4,172.16.6.11,6,22,1,42760,14,12,1688,1770,1,10,1577189731.86991
172.16.3.5,172.16.5.14,6,22,1,36058,13,12,1636,1762,1,10,1577189731.905224
172.16.3.5,172.16.5.14,6,22,1,36060,11,12,1532,1762,1,10,1577189731.922839
172.16.3.6,172.16.6.11,6,22,1,40334,12,12,1584,1770,1,10,1577189731.977228
172.16.3.6,172.16.6.11,6,22,1,40336,12,12,1584,1770,1,10,1577189732.011619
172.16.3.14,28.191.114.172,6,9103,1,47874,1,1,40,40,1,0,1577189732.165182
172.16.3.4,172.16.2.8,6,22,1,51902,14,12,1688,1770,1,10,1577189732.178348
172.16.3.4,172.16.2.8,6,22,1,51904,14,12,1688,1770,1,10,1577189732.178874
172.16.3.10,172.16.2.8,6,22,1,41968,14,12,1688,1770,1,10,1577189732.182424
172.16.3.10,172.16.2.8,6,22,1,41970,14,12,1688,1770,1,10,1577189732.186211
172.16.3.12,159.213.140.60,6,4128,1,47825,1,1,40,40,1,0,1577189732.226822
172.16.3.12,86.239.191.132,6,9886,1,1620,1,1,40,40,1,0,1577189732.281128
172.16.3.6,172.16.5.11,6,22,1,39200,14,12,1688,1770,1,10,1577189732.646581
172.16.3.6,172.16.5.11,6,22,1,39202,14,12,1688,1770,1,10,1577189732.678919
