intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.3.6,250.89.111.31,6,3087,1,20808,1,1,40,40,1,0,1577190331.684646
172.16.3.5,173.193.25.172,6,8899,1,51774,1,1,40,40,1,0,1577190331.80397
172.16.3.7,175.166.251.241,6,364,1,65455,1,1,40,40,1,0,1577190331.807979
172.16.3.4,172.16.2.6,6,22,1,57090,14,12,1688,1770,1,10,1577190331.912353
172.16.3.4,172.16.2.6,6,22,1,57092,13,11,1620,1718,1,9,1577190331.914646
172.16.3.6,172.16.2.6,6,22,1,52000,14,12,1688,1770,1,10,1577190331.928008
172.16.3.12,172.19.75.109,6,52632,1,4567,4,4,220,228,0,4,1577190331.957864
172.16.3.6,172.16.2.6,6,22,1,52002,13,12,1556,1770,1,9,1577190332.000307
172.16.3.12,172.16.1.4,6,22,0,52160,12,14,1770,1688,1,10,1577190332.015246
172.16.3.12,172.16.1.4,6,22,0,52162,12,14,1770,1688,1,10,1577190332.015669
172.16.3.12,172.16.4.11,6,22,0,35298,12,14,1770,1688,1,10,1577190332.016117
172.16.3.12,172.16.4.11,6,22,0,35300,12,14,1770,1688,1,10,1577190332.018307
172.16.3.12,172.16.5.3,6,22,0,51710,12,13,1762,1636,1,10,1577190332.020939
172.16.3.12,172.16.5.3,6,22,0,51712,11,13,1270,1636,1,9,1577190332.026024
172.16.3.12,172.16.1.3,6,22,0,33246,8,10,1632,808,1,8,1577190332.027595
172.16.3.12,172.16.1.3,6,22,0,33248,7,9,477,660,1,5,1577190332.029353
172.16.3.12,172.16.4.9,6,22,0,35702,11,12,1172,912,1,8,1577190332.029736
172.16.3.12,172.16.4.9,6,22,0,35704,11,12,1172,912,1,8,1577190332.03152
172.16.3.12,172.16.6.13,6,22,0,34306,12,14,1770,1688,1,10,1577190332.031882
172.16.3.12,172.16.6.13,6,22,0,34308,12,14,1770,1688,1,10,1577190332.032594
172.16.3.12,172.16.2.13,6,22,0,43294,12,13,1770,1636,1,10,1577190332.033586
172.16.3.12,172.16.2.13,6,22,0,43296,12,13,1770,1636,1,10,1577190332.034053
172.16.3.12,172.16.6.4,6,22,0,43500,10,12,1666,888,1,8,1577190332.035016
172.16.3.12,172.16.6.4,6,22,0,43502,9,11,1614,756,1,7,1577190332.03554
172.16.3.12,172.16.6.8,6,22,0,50870,10,10,1666,704,1,7,1577190332.037015
172.16.3.12,172.16.6.8,6,50872,1,22,8,9,1554,724,0,8,1577190332.043079
172.16.3.12,172.16.5.8,6,22,0,34812,9,9,1068,676,1,7,1577190332.044653
172.16.3.12,172.16.5.8,6,22,0,34814,7,9,956,748,0,8,1577190332.050093
172.16.3.10,172.16.7.7,6,22,1,46588,14,12,1688,1770,1,10,1577190332.125225
172.16.3.10,172.16.7.7,6,22,1,46590,14,12,1688,1770,1,10,1577190332.160295
172.16.3.4,172.16.7.7,6,22,1,60572,14,12,1688,1770,1,10,1577190332.340873
