intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.3.10,172.16.1.14,6,22,1,51954,11,12,1532,1770,1,10,1577188551.684337
172.16.3.10,172.16.1.14,6,22,1,51956,12,12,1584,1770,1,10,1577188551.684565
172.16.3.14,242.110.167.254,6,6096,1,31911,1,1,40,40,1,0,1577188552.243501
172.16.3.6,252.134.248.239,6,7901,1,39659,1,1,40,40,1,0,1577188552.252743
172.16.3.10,64.91.108.123,6,4790,1,57578,1,1,40,40,1,0,1577188552.321629
172.16.3.14,88.232.216.84,6,8566,1,16990,1,1,40,40,1,0,1577188552.364889
172.16.3.6,192.168.1.24,6,22,1,37760,12,12,1760,1730,1,10,1577188552.421863
172.16.3.6,192.168.1.24,6,22,1,37762,12,12,1760,1738,1,10,1577188552.422247
172.16.3.7,158.241.223.28,6,1392,1,2700,1,1,40,40,1,0,1577188552.985688
172.16.3.6,29.250.171.216,6,6070,1,26003,1,1,40,40,1,0,1577188552.989962
172.16.3.12,254.252.131.110,6,9210,1,21021,1,1,40,40,1,0,1577188554.398251
172.16.3.6,120.6.65.253,6,7046,1,4087,1,1,40,40,1,0,1577188554.422017
172.16.3.14,166.13.5.241,6,6901,1,64871,1,1,40,40,1,0,1577188554.437404
172.16.3.6,191.194.2.179,6,8261,1,48681,1,1,40,40,1,0,1577188554.467214
172.16.3.5,172.16.6.10,6,22,1,50708,11,12,1532,1770,1,10,1577188554.571818
172.16.3.5,172.16.6.10,6,22,1,50710,11,12,1532,1770,1,10,1577188554.572252
172.16.3.14,37.115.141.94,6,6310,1,12786,1,1,40,40,1,0,1577188555.055757
172.16.3.10,172.16.5.4,6,22,1,34428,14,12,1688,1770,1,10,1577188555.480019
172.16.3.10,172.16.5.4,6,22,1,34430,14,12,1688,1770,1,10,1577188555.48624
172.16.3.7,172.19.75.109,6,4567,0,33712,3,4,168,228,0,4,1577188556.026206
172.16.3.7,172.16.6.4,6,22,0,51754,12,12,1770,1584,1,10,1577188556.06397
172.16.3.7,172.16.6.4,6,22,0,51756,12,11,1770,1532,1,10,1577188556.064323
172.16.3.7,172.16.7.4,6,22,0,37736,12,12,1770,1584,1,10,1577188556.064644
172.16.3.7,172.16.7.4,6,22,0,37738,12,12,1770,1584,1,10,1577188556.066448
