intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.5.5,172.16.6.5,6,22,1,45318,14,12,1688,1770,1,10,1577189627.372286
172.16.5.5,172.16.6.5,6,22,1,45320,14,12,1688,1770,1,10,1577189627.374031
172.16.5.9,172.16.6.5,6,22,1,49400,14,12,1688,1770,1,10,1577189627.38196
172.16.5.9,172.16.6.5,6,22,1,49402,14,12,1688,1770,1,10,1577189627.383836
172.16.5.9,172.16.2.6,6,22,1,52964,3,2,156,184,0,1,1577189627.537129
172.16.5.12,172.19.75.109,6,4567,0,59242,4,4,220,228,0,4,1577189627.575471
172.16.5.9,172.16.2.6,6,22,1,52962,3,2,156,184,0,1,1577189627.584916
172.16.5.9,170.93.47.110,6,9832,1,11651,1,1,40,40,1,0,1577189627.745668
172.16.5.5,77.11.13.170,6,582,1,44207,1,1,40,40,1,0,1577189627.7748
172.16.5.9,209.206.154.191,6,5130,1,56258,1,1,40,40,1,0,1577189627.794619
172.16.5.11,79.200.177.207,6,9661,1,32069,1,1,40,40,1,0,1577189627.832529
172.16.5.11,64.12.30.61,6,1814,1,53963,1,1,40,40,1,0,1577189627.873024
172.16.5.3,104.184.224.104,6,925,1,38470,1,1,40,40,1,0,1577189627.923047
172.16.5.5,172.16.6.10,6,22,1,44790,14,12,1688,1770,1,10,1577189628.154434
172.16.5.5,172.16.6.10,6,22,1,44792,14,12,1688,1770,1,10,1577189628.155275
172.16.5.14,172.16.6.13,6,22,0,43794,8,10,1498,1240,1,6,1577189628.257178
172.16.5.14,172.16.6.13,6,22,0,43796,9,10,1614,1240,1,7,1577189628.257572
172.16.5.14,172.16.4.11,6,22,0,55392,11,14,1718,1688,1,10,1577189628.25791
172.16.5.14,172.16.4.11,6,22,0,55394,10,14,1218,1688,1,9,1577189628.259795
172.16.5.14,172.16.1.8,6,22,0,41100,12,14,1770,1688,1,10,1577189628.262118
172.16.5.14,172.16.1.8,6,22,0,41102,12,14,1770,1688,1,10,1577189628.268253
172.16.5.14,172.16.2.9,6,22,0,58594,10,11,1602,1372,1,7,1577189628.273873
172.16.5.14,172.16.2.9,6,22,0,58596,9,11,1550,1372,1,7,1577189628.275342
172.16.5.14,172.16.7.6,6,22,0,48668,11,14,1718,1688,1,10,1577189628.275769
172.16.5.14,172.16.7.6,6,22,0,48670,9,12,1550,1520,1,8,1577189628.276384
172.16.5.14,172.16.4.4,6,22,0,59994,9,11,885,1452,1,9,1577189628.277842
172.16.5.14,172.16.4.4,6,22,0,59996,9,10,844,1480,1,9,1577189628.280618
172.16.5.14,172.16.3.6,6,22,0,50994,10,11,1602,1372,1,7,1577189628.283046
172.16.5.14,172.16.3.6,6,22,0,50996,10,11,1602,764,1,7,1577189628.283485
172.16.5.14,172.16.6.9,6,22,0,34024,10,11,1602,764,1,7,1577189628.283792
172.16.5.14,172.16.6.9,6,22,0,34026,12,12,1770,912,1,9,1577189628.28506
172.16.5.14,172.16.3.10,6,22,0,51262,8,8,1498,528,1,6,1577189628.287937
172.16.5.14,172.16.3.10,6,22,0,51264,6,8,840,576,0,5,1577189628.293114
172.16.5.14,172.16.7.4,6,22,0,41014,9,11,1542,1372,1,7,1577189628.29537
172.16.5.14,172.16.7.4,6,41016,1,22,9,9,1542,1324,0,8,1577189628.301818
172.16.5.14,172.16.1.3,6,22,0,36934,9,11,1901,1372,1,8,1577189628.339757
172.16.5.14,172.16.1.3,6,22,0,36936,8,11,1785,1468,1,8,1577189628.381419
172.16.5.14,172.16.4.5,6,22,0,47072,12,9,1770,1252,1,7,1577189628.413917
172.16.5.14,172.16.4.5,6,22,0,47074,11,11,1270,1532,1,9,1577189628.43829
172.16.5.8,192.168.1.15,6,22,1,51826,10,9,1496,1518,1,7,1577189628.445465
172.16.5.8,192.168.1.15,6,22,1,51828,10,9,1496,1510,1,7,1577189628.447766
172.16.5.14,172.16.3.5,6,22,0,35454,12,12,1770,1584,1,10,1577189628.459514
172.16.5.5,192.168.1.15,6,22,1,53372,11,10,1708,1626,1,10,1577189628.467952
172.16.5.5,192.168.1.15,6,22,1,53374,12,10,1760,1570,1,9,1577189628.470077
172.16.5.14,172.16.3.5,6,22,0,35456,10,12,1218,1584,1,9,1577189628.479399
172.16.5.3,172.16.6.11,6,22,1,48428,13,9,1612,1614,1,9,1577189628.486807
172.16.5.3,172.16.6.11,6,22,1,48430,11,10,780,1666,1,8,1577189628.500009
172.16.5.9,172.16.4.8,6,22,1,42256,9,8,652,1016,1,6,1577189628.515039
172.16.5.9,172.16.4.8,6,22,1,42258,10,8,1400,1016,1,8,1577189628.516205
172.16.5.5,172.16.1.14,6,22,1,54132,14,12,1688,1770,1,10,1577189628.669922
172.16.5.5,172.16.1.14,6,22,1,54134,14,12,1688,1770,1,10,1577189628.684175
172.16.5.11,172.19.75.109,6,51468,1,4567,3,4,168,228,0,4,1577189628.726707
172.16.5.3,172.16.7.9,6,22,1,40640,14,12,1688,1770,1,10,1577189628.732642
172.16.5.3,172.16.7.9,6,22,1,40642,13,12,1636,1770,1,10,1577189628.738494
172.16.5.6,172.16.7.9,6,22,1,52614,13,12,1636,2505,1,11,1577189628.741156
172.16.5.6,172.16.7.9,6,22,1,52616,13,12,1636,2505,1,11,1577189628.743025
172.16.5.8,172.16.1.14,6,22,1,42670,14,12,1688,1762,1,10,1577189628.743616
172.16.5.9,172.16.7.9,6,22,1,57712,13,12,1636,1770,1,10,1577189628.743932
172.16.5.9,172.16.7.9,6,22,1,57714,13,12,1636,1770,1,10,1577189628.746235
172.16.5.8,172.16.1.14,6,22,1,42672,14,12,1688,1762,1,10,1577189628.776755
172.16.5.9,172.16.6.11,6,22,1,58368,14,12,1688,1770,1,10,1577189628.814644
172.16.5.9,172.16.6.11,6,22,1,58370,14,12,1688,1762,1,10,1577189628.837058
172.16.5.3,172.16.6.3,6,22,1,42470,14,12,1688,1770,1,10,1577189629.012423
172.16.5.3,172.16.6.3,6,22,1,42472,14,12,1688,1770,1,10,1577189629.012841
172.16.5.14,172.16.7.33,6,22,0,44585,0,1,0,40,1,0,1577189629.063981
172.16.5.14,172.16.1.132,6,22,0,35943,0,1,0,40,1,0,1577189629.067255
172.16.5.14,172.16.1.80,6,22,0,48152,0,1,0,40,1,0,1577189629.070923
172.16.5.14,172.16.1.191,6,22,0,61707,0,1,0,40,1,0,1577189629.072569
172.16.5.4,172.16.6.37,6,22,0,29093,0,1,0,40,1,0,1577189629.128434
172.16.5.4,172.16.2.206,6,22,0,60918,0,1,0,40,1,0,1577189629.128967
172.16.5.4,172.16.1.86,6,22,0,42612,0,1,0,40,1,0,1577189629.131592
172.16.5.10,172.19.75.109,6,36028,1,4567,3,3,168,176,0,4,1577189629.44649
172.16.5.12,172.16.1.13,6,22,0,46484,12,14,1770,1688,1,10,1577189629.450652
172.16.5.12,172.16.1.13,6,22,0,46486,12,14,1770,1688,1,10,1577189629.451281
