intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.5.3,172.16.4.12,6,22,1,58152,8,6,592,456,0,5,1577190487.397686
172.16.5.3,172.16.4.12,6,22,1,58154,8,6,592,456,0,5,1577190487.399598
172.16.5.13,172.16.1.4,6,40406,1,22,2,3,184,156,0,1,1577190487.39961
172.16.5.5,172.16.6.10,6,22,1,50842,3,2,156,184,0,1,1577190487.404671
172.16.5.3,172.16.6.10,6,22,1,34694,3,3,156,236,0,1,1577190487.40513
172.16.5.5,172.16.6.10,6,22,1,50844,3,2,156,184,0,1,1577190487.408081
172.16.5.3,172.16.6.10,6,22,1,34692,3,3,156,236,0,1,1577190487.409172
172.16.5.13,172.16.2.9,6,22,0,44488,1,3,52,156,0,0,1577190487.410842
172.16.5.8,172.16.6.10,6,43998,0,22,6,6,472,456,0,4,1577190487.413463
172.16.5.8,172.16.6.10,6,22,1,43996,3,3,156,236,0,1,1577190487.413483
172.16.5.5,172.16.4.12,6,22,1,38328,8,6,592,456,0,5,1577190487.41475
172.16.5.5,172.16.4.12,6,22,1,38326,8,6,592,456,0,5,1577190487.414758
172.16.5.13,172.16.6.4,6,22,0,36148,2,3,184,156,0,1,1577190487.415075
172.16.5.13,172.16.1.4,6,40408,1,22,2,3,184,156,0,1,1577190487.419443
172.16.5.13,172.16.4.11,6,22,0,46612,1,2,52,104,0,0,1577190487.427749
172.16.5.13,172.16.2.9,6,22,0,44486,2,3,184,156,0,1,1577190487.442283
172.16.5.13,172.16.3.10,6,22,0,50864,2,3,184,156,0,1,1577190487.445374
172.16.5.13,172.16.7.5,6,22,0,44256,2,3,184,156,0,1,1577190487.445724
172.16.5.13,172.16.4.9,6,22,0,49506,2,3,184,156,0,1,1577190487.451014
172.16.5.13,172.16.6.4,6,22,0,36146,2,3,184,156,0,1,1577190487.451266
172.16.5.13,172.16.7.5,6,22,0,44254,2,3,184,156,0,1,1577190487.455314
172.16.5.13,172.16.7.6,6,22,0,59696,2,3,184,156,0,1,1577190487.46106
172.16.5.13,172.16.3.10,6,22,0,50866,2,3,184,156,0,1,1577190487.461218
172.16.5.13,172.16.1.12,6,22,0,33888,2,3,184,156,0,1,1577190487.461966
172.16.5.13,172.16.7.6,6,59698,1,22,2,3,184,156,0,1,1577190487.465172
172.16.5.3,172.16.7.12,6,22,1,55170,3,2,156,184,0,1,1577190487.470806
172.16.5.13,172.16.4.9,6,22,0,49504,2,3,184,156,0,1,1577190487.483806
172.16.5.8,172.16.7.12,6,22,1,52930,3,2,156,184,0,1,1577190487.48463
172.16.5.13,172.16.1.8,6,22,0,35908,2,3,184,156,0,1,1577190487.484648
172.16.5.5,172.16.7.12,6,22,1,43684,3,2,156,184,0,1,1577190487.487656
172.16.5.13,172.16.1.12,6,22,0,33886,2,3,184,156,0,1,1577190487.492332
172.16.5.13,172.16.4.5,6,22,0,60964,2,3,184,156,0,1,1577190487.50119
172.16.5.3,172.16.7.12,6,22,1,55168,3,2,156,184,0,1,1577190487.503228
172.16.5.13,172.16.4.11,6,22,0,46610,2,3,184,156,0,1,1577190487.503254
172.16.5.13,172.16.1.8,6,35906,1,22,2,3,184,156,0,1,1577190487.527736
172.16.5.13,172.16.4.5,6,22,0,60966,2,3,184,156,0,1,1577190487.534084
172.16.5.8,172.16.7.12,6,22,1,52932,3,2,156,184,0,1,1577190487.540432
172.16.5.5,172.16.7.12,6,22,1,43686,3,2,156,184,0,1,1577190487.546372
172.16.5.9,172.16.7.12,6,22,1,50330,3,2,156,184,0,1,1577190487.551539
172.16.5.13,172.16.2.13,6,22,0,53942,2,3,184,156,0,1,1577190487.575414
172.16.5.9,172.16.7.12,6,50332,0,22,3,2,156,184,0,1,1577190487.587309
172.16.5.8,172.16.4.12,6,22,1,43576,12,12,1584,1770,1,10,1577190487.626731
172.16.5.8,172.16.4.12,6,22,1,43578,14,12,1688,1770,1,10,1577190487.630831
172.16.5.13,172.16.2.13,6,22,0,53944,2,2,184,104,0,1,1577190487.630845
172.16.5.2,50.214.196.95,6,5901,1,5455,1,1,40,40,1,0,1577190487.749601
172.16.5.12,172.19.75.109,6,59242,1,4567,4,4,220,228,0,4,1577190487.782271
172.16.5.14,172.19.75.109,6,39218,1,4567,3,4,168,228,0,4,1577190487.891432
172.16.5.14,135.61.27.32,6,8408,1,55539,1,1,40,40,1,0,1577190487.92877
172.16.5.9,172.16.7.7,6,22,1,39432,12,10,832,1666,1,8,1577190488.186149
172.16.5.11,172.16.4.5,6,22,0,56128,7,10,1446,1240,1,6,1577190488.203183
172.16.5.11,172.16.4.5,6,22,0,56130,8,11,1498,1356,1,7,1577190488.203558
172.16.5.11,172.16.4.14,6,22,0,44274,10,14,1218,1688,1,9,1577190488.205194
172.16.5.11,172.16.4.14,6,22,0,44276,11,14,1718,1688,1,10,1577190488.207027
172.16.5.9,172.16.7.7,6,22,1,39434,13,11,1612,1718,1,9,1577190488.209488
172.16.5.11,172.16.7.6,6,22,0,54194,12,14,1770,1688,1,10,1577190488.211173
172.16.5.11,172.16.7.6,6,22,0,54196,12,13,1770,1540,1,9,1577190488.212534
172.16.5.11,172.16.1.4,6,22,0,56984,11,14,1718,1688,1,10,1577190488.215378
172.16.5.11,172.16.1.4,6,22,0,56986,12,14,1770,1688,1,10,1577190488.218329
172.16.5.11,172.16.7.4,6,22,0,52116,12,14,1770,1688,1,10,1577190488.221018
172.16.5.11,172.16.7.4,6,22,0,52118,12,14,1770,1688,1,10,1577190488.22505
172.16.5.11,172.16.3.6,6,22,0,42452,9,12,1550,1520,1,8,1577190488.227561
172.16.5.11,172.16.3.6,6,22,0,42454,8,12,1498,1520,1,8,1577190488.230196
172.16.5.11,172.16.1.13,6,22,0,54224,10,13,1666,964,1,9,1577190488.232965
172.16.5.11,172.16.1.13,6,22,0,54226,9,10,1606,1280,1,7,1577190488.235451
172.16.5.11,172.16.1.8,6,32988,1,22,9,10,1614,1368,0,8,1577190488.243869
172.16.5.11,172.16.1.8,6,32990,1,22,9,9,1606,644,0,7,1577190488.248107
172.16.5.11,172.16.4.9,6,22,0,56272,11,12,1718,1560,1,9,1577190488.248649
172.16.5.5,172.16.7.7,6,22,1,60726,11,10,1524,1112,0,9,1577190488.273704
172.16.5.5,172.16.7.7,6,22,1,60728,14,12,1688,1770,1,10,1577190488.274175
172.16.5.5,172.16.4.13,6,22,1,36406,14,12,1688,1770,1,10,1577190488.303314
172.16.5.5,172.16.4.13,6,22,1,36408,14,12,1688,1770,1,10,1577190488.320549
172.16.5.11,172.16.4.11,6,22,0,45358,12,14,1770,1688,1,10,1577190488.333098
172.16.5.11,172.16.4.9,6,22,0,56274,10,11,1104,1524,0,9,1577190488.33322
172.16.5.11,172.16.4.11,6,22,0,45360,12,14,1770,1688,1,10,1577190488.343249
172.16.5.6,172.16.7.7,6,22,1,55840,13,12,1636,2505,1,11,1577190488.34846
172.16.5.6,172.16.7.7,6,22,1,55842,13,12,1636,2505,1,11,1577190488.35521
