intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.7.6,124.240.201.218,6,4591,1,10759,0,1,0,40,0,0,1577189563.104069
172.16.7.13,172.16.1.3,6,22,0,45836,10,9,1968,1420,0,10,1577189563.107976
172.16.7.13,172.16.4.9,6,22,0,42596,9,10,1060,1448,0,8,1577189563.108455
172.16.7.13,172.16.1.3,6,22,0,45838,12,12,2121,1584,1,11,1577189563.109619
172.16.7.13,172.16.4.11,6,22,0,60658,6,7,456,540,0,5,1577189563.112404
172.16.7.13,172.16.4.9,6,22,0,42594,7,8,948,592,0,6,1577189563.115759
172.16.7.13,172.16.4.11,6,22,0,60656,6,6,456,472,0,4,1577189563.116837
172.16.7.13,172.16.6.13,6,22,0,33520,6,8,456,592,0,5,1577189563.124054
172.16.7.13,172.16.1.13,6,22,0,38314,12,14,1770,1688,1,10,1577189563.135316
172.16.7.13,172.16.6.13,6,22,0,33518,6,7,456,540,0,5,1577189563.138416
172.16.7.3,172.16.3.7,6,22,1,60880,3,2,156,184,0,1,1577189563.147873
172.16.7.3,172.16.6.12,6,22,1,39144,2,1,104,52,0,0,1577189563.150187
172.16.7.13,172.16.1.13,6,22,0,38316,12,14,1770,1688,1,10,1577189563.159646
172.16.7.3,172.16.3.7,6,22,1,60878,3,2,156,184,0,1,1577189563.163882
172.16.7.13,172.16.6.9,6,22,0,59716,12,14,1770,1688,1,10,1577189563.179593
172.16.7.13,172.16.6.9,6,22,0,59718,12,14,1770,1688,1,10,1577189563.200969
172.16.7.5,21.135.160.10,6,5457,1,38974,1,1,40,40,1,0,1577189563.211169
172.16.7.5,172.16.3.7,6,22,1,46228,3,2,156,184,0,1,1577189563.220568
172.16.7.13,172.16.5.5,6,22,0,48568,12,14,1770,1688,1,10,1577189563.231466
172.16.7.13,172.16.5.5,6,22,0,48570,12,14,1770,1688,1,10,1577189563.259953
172.16.7.13,172.16.4.5,6,22,0,32814,12,14,1770,1688,1,10,1577189563.28287
172.16.7.13,172.16.4.5,6,22,0,32816,12,14,1770,1688,1,10,1577189563.30149
172.16.7.5,172.16.3.7,6,22,1,46230,3,2,156,184,0,1,1577189563.30246
172.16.7.13,172.16.4.14,6,22,0,37340,2,3,184,156,0,1,1577189563.321251
172.16.7.13,172.16.4.14,6,22,0,37342,2,3,184,156,0,1,1577189563.341222
172.16.7.4,172.16.4.10,6,22,1,40818,14,12,1688,1770,1,10,1577189563.375501
172.16.7.4,172.16.4.10,6,22,1,40820,14,12,1688,1770,1,10,1577189563.391496
172.16.7.7,172.16.2.13,6,22,0,36246,11,14,1270,1688,1,9,1577189564.234409
