intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.2.13,172.16.1.11,6,22,1,55088,2,2,104,184,0,1,1577189293.294918
172.16.2.12,172.16.6.5,6,22,1,45734,8,6,592,456,0,5,1577189293.327493
172.16.2.12,172.16.6.5,6,22,1,45732,8,6,592,456,0,5,1577189293.327514
172.16.2.14,172.16.5.4,6,22,1,35072,14,12,1688,1770,1,10,1577189293.421749
172.16.2.14,172.16.5.4,6,22,1,35074,14,12,1688,1770,1,10,1577189293.422224
172.16.2.6,172.16.1.42,6,22,0,32569,0,1,0,40,1,0,1577189293.5639
172.16.2.6,172.16.2.117,6,22,0,15106,0,1,0,40,1,0,1577189293.565301
172.16.2.6,172.16.1.234,6,22,0,31333,0,1,0,40,1,0,1577189293.572764
172.16.2.6,172.16.6.185,6,22,0,48572,0,1,0,40,1,0,1577189293.574264
172.16.2.9,172.16.5.4,6,22,1,54652,14,12,1688,1770,1,10,1577189293.580291
172.16.2.9,172.16.5.4,6,22,1,54654,14,12,1688,1770,1,10,1577189293.582794
172.16.2.9,7.184.226.145,6,7677,1,61709,1,1,40,40,1,0,1577189294.24158
172.16.2.2,188.116.29.104,6,5508,1,43485,1,1,40,40,1,0,1577189294.33702
172.16.2.14,182.208.66.41,6,9570,1,651,1,1,40,40,1,0,1577189294.482725
172.16.2.3,98.183.89.216,6,1954,1,39616,1,1,40,40,1,0,1577189294.519665
172.16.2.9,35.202.216.239,6,9424,1,22588,1,1,40,40,1,0,1577189294.526201
172.16.2.14,172.16.6.12,6,22,1,41578,14,12,1688,1770,1,10,1577189294.531481
172.16.2.14,172.16.6.12,6,22,1,41580,14,12,1688,1770,1,10,1577189294.531906
172.16.2.13,204.142.68.103,6,7313,1,48268,1,1,40,40,1,0,1577189294.687532
172.16.2.14,172.16.7.9,6,22,1,38700,14,12,1688,1762,1,10,1577189294.774817
172.16.2.14,172.16.7.9,6,22,1,38702,14,12,1688,1770,1,10,1577189294.780667
172.16.2.13,192.168.1.24,6,22,1,40944,12,12,1760,1730,1,10,1577189295.074931
172.16.2.13,192.168.1.24,6,22,1,40946,12,12,1760,1738,1,10,1577189295.075287
172.16.2.9,192.168.1.24,6,22,1,57678,12,12,1760,1730,1,10,1577189295.175863
172.16.2.9,192.168.1.24,6,22,1,57680,12,12,1760,1730,1,10,1577189295.177327
172.16.2.12,192.168.1.24,6,22,1,35736,12,12,1760,1738,1,10,1577189295.196405
172.16.2.12,192.168.1.24,6,22,1,35738,12,12,1760,1738,1,10,1577189295.197265
172.16.2.14,172.16.1.10,6,22,1,57664,14,12,1688,1770,1,10,1577189295.224812
172.16.2.14,172.16.1.10,6,22,1,57666,14,12,1688,1770,1,10,1577189295.234847
172.16.2.12,172.16.5.12,6,22,1,47798,13,12,1636,1770,1,10,1577189295.407266
172.16.2.12,172.16.5.12,6,22,1,47800,13,12,1636,1770,1,10,1577189295.409176
172.16.2.9,172.16.1.10,6,22,1,41980,11,12,1532,1770,1,10,1577189295.505795
172.16.2.9,172.16.1.10,6,22,1,41982,11,12,1532,1770,1,10,1577189295.515915
172.16.2.3,172.16.7.111,6,22,0,46858,0,1,0,40,1,0,1577189295.663537
172.16.2.3,172.16.7.197,6,22,0,52119,0,1,0,40,1,0,1577189295.666062
172.16.2.3,172.16.3.51,6,22,0,4238,0,1,0,40,1,0,1577189295.66998
172.16.2.3,172.16.5.238,6,22,0,37323,0,1,0,40,1,0,1577189295.672873
172.16.2.3,172.16.4.53,6,22,0,2682,0,1,0,40,1,0,1577189295.674319
172.16.2.12,172.16.1.9,6,22,1,42798,14,12,1688,1770,1,10,1577189295.799938
172.16.2.12,172.16.1.9,6,22,1,42800,14,12,1688,1770,1,10,1577189295.800142
172.16.2.9,172.16.1.9,6,22,1,38314,14,12,1688,1770,1,10,1577189295.869856
172.16.2.9,172.16.1.9,6,22,1,38316,14,12,1688,1770,1,10,1577189295.895041
172.16.2.14,172.16.4.13,6,22,1,44490,13,12,1636,1770,1,10,1577189296.103894
172.16.2.14,172.16.4.13,6,22,1,44492,13,12,1636,1770,1,10,1577189296.107629
172.16.2.3,128.32.0.60,6,7419,1,12001,1,1,40,40,1,0,1577189296.409657
172.16.2.8,132.36.73.239,6,3016,1,32712,1,1,40,40,1,0,1577189296.499012
172.16.2.12,172.16.3.14,6,22,1,38566,13,11,1636,1718,1,10,1577189296.520378
172.16.2.12,172.16.3.14,6,22,1,38568,14,11,1688,1718,1,10,1577189296.523608
172.16.2.8,172.16.1.12,6,22,0,53792,12,14,1770,1688,1,10,1577189296.649958
172.16.2.8,172.16.1.12,6,22,0,53794,12,14,1770,1688,1,10,1577189296.650366
172.16.2.8,172.16.4.9,6,22,0,34492,12,13,1770,1636,1,10,1577189296.650561
172.16.2.8,172.16.4.9,6,22,0,34494,12,13,1770,1636,1,10,1577189296.652212
172.16.2.8,172.16.5.9,6,22,0,54474,12,13,1770,1636,1,10,1577189296.654545
