intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.5.14,172.16.1.3,6,38498,1,22,5,8,1445,1128,0,6,1577189887.277093
172.16.5.14,172.16.7.6,6,22,0,50232,5,7,788,556,0,5,1577189887.277259
172.16.5.14,172.16.7.6,6,22,0,50234,5,7,788,460,0,4,1577189887.27727
172.16.5.14,172.16.2.9,6,22,0,60158,6,6,840,488,0,4,1577189887.277285
172.16.5.14,172.16.2.9,6,22,0,60160,7,5,892,340,0,3,1577189887.277304
172.16.5.14,172.16.3.6,6,22,0,52560,4,4,736,208,0,2,1577189887.279659
172.16.5.14,172.16.7.4,6,42580,1,22,8,8,936,1304,0,7,1577189887.285563
172.16.5.14,172.16.1.3,6,22,0,38500,9,11,1901,1420,1,8,1577189887.294741
172.16.5.14,172.16.4.4,6,22,0,33326,7,8,732,672,0,7,1577189887.296442
172.16.5.14,172.16.4.4,6,22,0,33328,8,6,784,568,0,7,1577189887.297668
172.16.5.14,172.16.6.9,6,22,0,35588,5,5,788,324,0,3,1577189887.298736
172.16.5.14,172.16.6.9,6,22,0,35590,3,4,684,208,0,2,1577189887.298862
172.16.5.14,172.16.3.10,6,22,0,52826,5,6,788,392,0,4,1577189887.300016
172.16.5.14,172.16.7.4,6,22,0,42578,7,6,892,456,0,4,1577189887.300029
172.16.5.14,172.16.3.10,6,22,0,52828,6,6,840,392,0,4,1577189887.300833
172.16.5.14,172.16.6.13,6,22,0,45358,3,6,236,472,0,3,1577189887.303348
172.16.5.14,172.16.6.13,6,22,0,45360,5,6,340,424,0,3,1577189887.303359
172.16.5.14,172.16.1.8,6,22,0,42666,4,5,288,276,0,2,1577189887.304353
172.16.5.14,172.16.1.8,6,22,0,42664,3,6,236,328,0,2,1577189887.304356
172.16.5.14,172.16.4.11,6,22,0,56958,4,6,736,392,0,4,1577189887.309786
172.16.5.14,172.16.4.11,6,22,0,56956,7,6,948,392,0,5,1577189887.310427
172.16.5.14,172.16.3.6,6,22,0,52558,3,5,236,356,0,2,1577189887.318431
172.16.5.10,172.16.7.6,6,22,0,49854,12,11,1770,1436,1,9,1577189887.367653
172.16.5.10,172.16.7.6,6,22,0,49856,9,11,1542,1372,1,7,1577189887.368425
172.16.5.14,172.16.4.5,6,22,0,48636,11,9,1718,660,1,7,1577189887.368754
172.16.5.10,172.16.2.13,6,22,0,41930,11,13,1270,1636,1,9,1577189887.374288
172.16.5.10,172.16.2.13,6,22,0,41932,10,11,1218,1436,1,8,1577189887.379
172.16.5.10,172.16.4.4,6,22,0,35582,6,7,1640,1068,1,4,1577189887.381033
172.16.5.14,172.16.4.5,6,22,0,48638,8,8,1114,584,1,5,1577189887.382792
172.16.5.10,172.16.4.4,6,22,0,35584,8,6,1632,504,1,6,1577189887.382799
172.16.5.10,172.16.7.3,6,22,0,49876,11,12,1718,832,1,8,1577189887.383246
172.16.5.10,172.16.7.3,6,22,0,49878,8,11,1114,1428,1,7,1577189887.385094
172.16.5.10,172.16.3.5,6,22,0,54676,6,9,400,612,1,4,1577189887.385459
172.16.5.10,172.16.3.5,6,22,0,54678,8,8,1016,600,1,6,1577189887.386172
172.16.5.10,172.16.2.12,6,38806,1,22,7,6,452,392,0,3,1577189887.390147
172.16.5.10,172.16.2.12,6,22,0,38808,7,12,964,1480,1,7,1577189887.39256
172.16.5.10,172.16.4.14,6,22,0,50564,5,7,796,484,1,4,1577189887.396497
172.16.5.10,172.16.4.14,6,22,0,50562,6,9,456,1340,0,7,1577189887.397762
172.16.5.10,172.16.6.8,6,22,0,54844,6,8,840,600,0,6,1577189887.397867
172.16.5.10,172.16.7.5,6,22,0,58674,5,7,1326,1044,1,4,1577189887.400245
172.16.5.10,172.16.7.5,6,22,0,58676,6,11,840,1508,1,7,1577189887.409073
172.16.5.14,172.16.3.5,6,37018,1,22,8,7,568,540,0,5,1577189887.410298
172.16.5.14,172.16.3.5,6,37020,1,22,9,6,1606,488,0,7,1577189887.430034
172.16.5.10,172.16.6.8,6,54842,1,22,5,6,788,424,0,4,1577189887.43629
172.16.5.14,172.16.2.12,6,22,0,33054,8,7,1008,564,0,7,1577189887.44544
172.16.5.14,172.19.75.109,6,39218,1,4567,0,1,0,62,0,1,1577189887.450254
172.16.5.14,172.16.2.12,6,22,0,33056,8,6,1008,1160,0,7,1577189887.474393
172.16.5.10,172.16.2.9,6,22,0,55640,12,13,1770,1620,1,9,1577189887.502761
172.16.5.10,172.16.2.9,6,22,0,55642,10,10,1602,1368,1,7,1577189887.514587
172.16.5.8,192.168.1.24,6,22,1,50208,11,10,1644,1570,1,8,1577189887.592634
172.16.5.8,192.168.1.24,6,22,1,50210,9,10,1428,1570,1,6,1577189887.595496
172.16.5.13,172.16.6.4,6,22,0,32878,11,11,1718,780,1,8,1577189887.601411
172.16.5.3,192.168.1.24,6,22,1,52972,12,11,1760,1270,1,9,1577189887.603564
172.16.5.3,192.168.1.24,6,22,1,52974,12,11,1760,1622,1,9,1577189887.603765
172.16.5.13,172.16.6.4,6,22,0,32880,9,14,1614,1688,1,10,1577189887.612592
172.16.5.13,172.16.4.11,6,43342,1,22,10,8,1658,592,0,7,1577189887.623643
172.16.5.9,192.168.1.24,6,22,1,49720,10,8,1584,984,1,7,1577189887.624788
172.16.5.9,192.168.1.24,6,49722,0,22,11,11,1700,1678,0,10,1577189887.627297
172.16.5.13,172.16.4.11,6,22,0,43344,10,11,1666,756,1,7,1577189887.63543
172.16.5.12,172.19.75.109,6,59242,1,4567,2,3,110,166,0,2,1577189887.639137
172.16.5.13,172.16.3.10,6,47596,1,22,9,8,1068,592,0,6,1577189887.651594
172.16.5.13,172.16.3.10,6,22,0,47598,11,11,1710,1508,1,9,1577189887.6717
172.16.5.13,172.16.4.9,6,22,0,46236,12,14,1770,1688,1,10,1577189887.733108
172.16.5.13,172.16.4.9,6,22,0,46238,12,14,1770,1688,1,10,1577189887.756282
172.16.5.13,172.16.7.5,6,22,0,40986,12,14,1770,1688,1,10,1577189887.775215
172.16.5.13,172.16.7.5,6,22,0,40988,12,14,1770,1688,1,10,1577189887.796395
172.16.5.13,172.16.2.9,6,22,0,41218,12,14,1770,1688,1,10,1577189887.820876
172.16.5.13,172.16.2.9,6,22,0,41220,12,14,1770,1688,1,10,1577189887.835977
172.16.5.13,172.16.7.6,6,22,0,56428,12,14,1770,1688,1,10,1577189887.852963
172.16.5.13,172.16.7.6,6,22,0,56430,12,14,1770,1688,1,10,1577189887.867772
172.16.5.13,172.16.1.4,6,22,0,37138,12,14,1770,1688,1,10,1577189887.938323
172.16.5.13,172.16.1.4,6,22,0,37140,12,14,1762,1688,1,10,1577189887.969648
172.16.5.13,172.16.1.12,6,22,0,58850,12,14,1770,1688,1,10,1577189888.013199
172.16.5.13,172.16.1.12,6,22,0,58852,12,14,1770,1688,1,10,1577189888.035904
172.16.5.2,163.185.102.123,6,5802,1,22609,1,1,40,40,1,0,1577189888.056124
172.16.5.8,172.16.1.9,6,22,1,43508,14,12,1688,1770,1,10,1577189888.11199
172.16.5.8,172.16.1.9,6,22,1,43510,14,12,1688,1770,1,10,1577189888.112638
172.16.5.3,77.17.181.238,6,5894,1,30912,1,1,40,40,1,0,1577189888.125503
172.16.5.9,172.16.1.9,6,22,1,44734,14,12,1688,1762,1,10,1577189888.149255
172.16.5.9,172.16.1.9,6,22,1,44736,14,12,1688,1770,1,10,1577189888.155932
172.16.5.3,172.16.2.3,6,22,1,39226,14,12,1688,1770,1,10,1577189888.197946
172.16.5.3,172.16.2.3,6,22,1,39228,14,12,1688,1770,1,10,1577189888.222177
172.16.5.10,13.100.157.164,6,7393,1,16824,1,1,40,40,1,0,1577189888.225579
172.16.5.9,172.16.2.3,6,22,1,57098,14,12,1688,1770,1,10,1577189888.257731
172.16.5.9,172.16.2.3,6,22,1,57100,14,12,1688,1770,1,10,1577189888.26127
172.16.5.5,172.16.1.9,6,22,1,46500,14,12,1688,1770,1,10,1577189888.300452
172.16.5.5,172.16.1.9,6,22,1,46502,14,12,1688,1770,1,10,1577189888.308776
172.16.5.3,172.16.6.3,6,22,1,44070,14,12,1688,1770,1,10,1577189888.545109
172.16.5.3,172.16.6.3,6,22,1,44072,12,12,1584,1770,1,10,1577189888.545532
