intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.5.14,172.16.4.11,6,22,0,55182,8,9,1008,724,0,7,1577189587.275499
172.16.5.14,172.16.1.8,6,22,0,40890,11,12,1710,1576,0,10,1577189587.278631
172.16.5.14,172.16.6.13,6,22,0,43584,7,8,956,592,0,6,1577189587.278857
172.16.5.14,172.16.6.13,6,22,0,43582,7,8,956,592,0,6,1577189587.280806
172.16.5.9,172.16.6.11,6,22,1,58152,10,9,1448,1060,0,8,1577189587.28563
172.16.5.5,192.168.1.15,6,22,1,53182,5,7,436,916,0,6,1577189587.286233
172.16.5.5,192.168.1.15,6,22,1,53180,5,7,436,924,0,6,1577189587.287898
172.16.5.9,172.16.6.11,6,22,1,58154,11,10,1524,1112,0,9,1577189587.288606
172.16.5.14,172.16.1.8,6,22,0,40888,9,10,1060,1448,0,8,1577189587.295878
172.16.5.8,192.168.1.15,6,22,1,51636,5,6,420,456,0,4,1577189587.297241
172.16.5.14,172.16.4.11,6,22,0,55180,7,8,956,592,0,6,1577189587.300299
172.16.5.8,192.168.1.15,6,22,1,51634,3,3,156,236,0,1,1577189587.313334
172.16.5.5,172.16.6.10,6,22,1,44584,3,2,156,184,0,1,1577189587.319413
172.16.5.5,172.16.6.10,6,22,1,44582,3,2,156,184,0,1,1577189587.336262
172.16.5.14,172.16.2.9,6,22,0,58382,12,14,1770,1688,1,10,1577189587.353765
172.16.5.14,172.16.2.9,6,22,0,58384,12,14,1770,1688,1,10,1577189587.370461
172.16.5.14,172.16.7.6,6,22,0,48456,12,14,1770,1688,1,10,1577189587.397987
172.16.5.3,172.16.6.3,6,22,1,42230,14,12,1688,1770,1,10,1577189587.405757
172.16.5.3,172.16.6.3,6,22,1,42232,14,12,1688,1770,1,10,1577189587.406104
172.16.5.14,172.16.7.6,6,22,0,48458,12,14,1770,1688,1,10,1577189587.41655
172.16.5.14,172.16.4.4,6,22,0,59782,12,12,2121,1584,1,11,1577189587.434166
172.16.5.3,172.16.6.11,6,22,1,48214,3,2,156,184,0,1,1577189587.445325
172.16.5.14,172.16.4.4,6,22,0,59784,12,12,2121,1584,1,11,1577189587.44705
172.16.5.9,172.16.6.5,6,22,1,49242,3,2,156,184,0,1,1577189587.456994
172.16.5.14,172.16.3.6,6,22,0,50782,12,14,1770,1688,1,10,1577189587.465712
172.16.5.3,172.16.6.11,6,22,1,48212,3,2,156,184,0,1,1577189587.486617
172.16.5.14,172.16.3.6,6,22,0,50784,12,14,1770,1688,1,10,1577189587.492154
172.16.5.14,172.16.6.9,6,22,0,33812,12,14,1770,1688,1,10,1577189587.510537
172.16.5.14,172.16.6.9,6,22,0,33814,12,12,1770,1584,1,10,1577189587.527136
172.16.5.5,172.16.6.5,6,22,1,45158,3,2,156,184,0,1,1577189587.528861
172.16.5.9,172.16.6.5,6,22,1,49240,3,2,156,184,0,1,1577189587.531397
172.16.5.5,172.16.6.5,6,22,1,45160,3,2,156,184,0,1,1577189587.550073
172.16.5.12,172.19.75.109,6,59242,1,4567,3,4,168,228,0,4,1577189587.564513
172.16.5.14,172.16.3.10,6,22,0,51050,12,14,1762,1688,1,10,1577189587.590711
172.16.5.14,172.16.3.10,6,22,0,51052,12,14,1770,1688,1,10,1577189587.609565
172.16.5.14,172.16.7.4,6,22,0,40802,12,14,1770,1688,1,10,1577189587.625905
172.16.5.14,172.16.7.4,6,22,0,40804,12,14,1770,1688,1,10,1577189587.644344
172.16.5.9,172.16.4.8,6,22,1,42096,14,12,1688,1770,1,10,1577189587.650401
172.16.5.9,172.16.4.8,6,22,1,42098,13,12,1636,1770,1,10,1577189587.652236
172.16.5.13,202.58.205.135,6,821,1,52810,1,1,40,40,1,0,1577189587.750109
172.16.5.3,172.16.7.9,6,22,1,40472,13,12,1636,1770,1,10,1577189588.28378
172.16.5.3,172.16.7.9,6,22,1,40474,13,12,1636,1770,1,10,1577189588.285507
172.16.5.6,172.16.7.9,6,22,1,52446,11,10,1532,2401,1,11,1577189588.294929
172.16.5.6,172.16.7.9,6,22,1,52448,11,10,1532,2401,1,11,1577189588.295557
172.16.5.9,172.16.7.9,6,22,1,57544,13,12,1636,1770,1,10,1577189588.296788
172.16.5.9,172.16.7.9,6,22,1,57546,14,12,1688,1770,1,10,1577189588.298627
172.16.5.5,172.16.1.14,6,22,1,53980,13,12,1636,1770,1,10,1577189588.477544
172.16.5.5,172.16.1.14,6,22,1,53982,14,12,1688,1770,1,10,1577189588.479878
172.16.5.8,172.16.1.14,6,22,1,42518,13,12,1636,1762,1,10,1577189588.492491
