intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.7.6,172.16.4.7,6,22,1,50456,12,11,1576,1710,0,10,1577189603.091485
172.16.7.6,172.16.4.7,6,22,1,50454,9,9,724,1060,0,7,1577189603.091497
172.16.7.3,172.16.3.7,6,22,1,32796,7,6,540,904,0,6,1577189603.091559
172.16.7.3,172.16.4.7,6,22,1,40724,13,11,1636,1638,1,9,1577189603.094996
172.16.7.3,172.16.4.7,6,22,1,40726,14,12,1688,1770,1,10,1577189603.097923
172.16.7.4,172.16.3.7,6,22,1,41722,8,6,592,456,0,5,1577189603.10558
172.16.7.4,172.16.4.7,6,22,1,40770,6,7,488,956,0,6,1577189603.107616
172.16.7.4,172.16.3.7,6,22,1,41724,8,6,592,456,0,5,1577189603.10857
172.16.7.5,172.16.3.7,6,22,1,46376,8,7,1344,876,0,7,1577189603.110786
172.16.7.5,172.16.3.7,6,22,1,46378,9,9,1396,1060,0,8,1577189603.112208
172.16.7.5,172.16.5.13,6,22,1,39842,14,12,1688,1770,1,10,1577189603.12676
172.16.7.4,172.16.4.7,6,22,1,40768,9,9,724,1060,0,7,1577189603.126775
172.16.7.5,172.16.5.13,6,22,1,39844,14,12,1688,1762,1,10,1577189603.128916
172.16.7.3,172.16.3.7,6,22,1,32794,8,6,592,456,0,5,1577189603.130653
172.16.7.6,172.16.5.13,6,22,1,55284,14,12,1688,1770,1,10,1577189603.135254
172.16.7.6,172.16.5.13,6,22,1,55286,13,12,1636,1770,1,10,1577189603.138007
172.16.7.6,85.185.199.172,6,3886,1,27837,1,1,40,40,1,0,1577189603.156774
172.16.7.6,172.16.1.10,6,22,1,48744,14,12,1688,1770,1,10,1577189603.16024
172.16.7.6,172.16.1.10,6,22,1,48746,14,12,1688,1770,1,10,1577189603.177152
172.16.7.4,172.16.4.12,6,22,1,51324,6,6,488,456,0,5,1577189603.191915
172.16.7.3,172.16.4.12,6,22,1,52456,6,6,488,456,0,5,1577189603.19362
172.16.7.3,172.16.4.12,6,22,1,52454,7,6,540,456,0,5,1577189603.195211
172.16.7.5,172.16.4.12,6,22,1,33800,7,6,540,456,0,5,1577189603.198112
172.16.7.5,172.16.4.12,6,22,1,33798,6,5,488,404,0,5,1577189603.201851
172.16.7.4,172.16.4.12,6,22,1,51322,7,6,540,456,0,5,1577189603.213331
172.16.7.12,172.16.4.150,6,22,0,45516,0,1,0,40,1,0,1577189603.525086
172.16.7.12,172.16.6.30,6,22,0,46527,0,1,0,40,1,0,1577189603.527533
172.16.7.12,172.16.7.138,6,22,0,41833,0,1,0,40,1,0,1577189603.529139
172.16.7.10,172.16.5.5,6,22,0,33306,10,12,1218,1584,1,9,1577189603.572548
172.16.7.10,172.16.5.5,6,22,0,33308,11,12,1270,1584,1,9,1577189603.574637
172.16.7.10,172.16.5.8,6,22,0,60390,10,14,1138,1688,1,8,1577189603.579507
172.16.7.10,172.16.5.8,6,22,0,60392,10,11,1586,1532,1,9,1577189603.582524
172.16.7.10,172.16.5.6,6,22,0,60760,12,10,2505,808,1,10,1577189603.584699
172.16.7.10,172.16.5.6,6,22,0,60762,10,10,1312,1480,1,9,1577189603.586261
172.16.7.10,172.16.4.11,6,22,0,33296,10,10,1586,1400,1,8,1577189603.587816
172.16.7.10,172.16.4.11,6,22,0,33298,8,10,1482,1400,1,8,1577189603.588197
172.16.7.10,172.16.6.4,6,22,0,55230,10,11,1586,1532,1,9,1577189603.589168
172.16.7.10,172.16.6.4,6,22,0,55232,11,13,1638,1636,1,9,1577189603.589702
172.16.7.10,172.16.6.9,6,22,0,56614,10,11,1138,1532,1,8,1577189603.59087
172.16.7.10,172.16.6.9,6,22,0,56616,12,13,1770,1636,1,10,1577189603.593724
172.16.7.10,172.16.1.13,6,22,0,60452,10,11,1666,1532,1,10,1577189603.596273
172.16.7.10,172.16.1.13,6,22,0,60454,11,13,1718,964,1,9,1577189603.597875
172.16.7.10,172.16.3.5,6,22,0,45272,9,10,1614,704,1,7,1577189603.599579
172.16.7.10,172.16.3.5,6,22,0,45274,7,7,964,1220,1,7,1577189603.602641
172.16.7.10,172.16.2.9,6,22,0,49276,8,10,928,784,1,6,1577189603.603999
172.16.7.10,172.16.2.9,6,22,0,49278,7,10,876,728,1,6,1577189603.605055
172.16.7.10,172.16.3.6,6,39124,1,22,11,9,1638,668,0,7,1577189603.61098
172.16.7.10,172.16.3.6,6,39122,1,22,6,7,376,540,0,4,1577189603.61177
172.16.7.10,172.16.2.14,6,36812,1,22,9,10,1606,1392,0,9,1577189603.616644
172.16.7.10,172.16.2.14,6,22,0,36810,9,9,1060,1396,0,8,1577189603.625389
172.16.7.13,172.16.4.4,6,22,0,45852,10,12,1777,1504,1,9,1577189604.100029
172.16.7.13,172.16.4.4,6,22,0,45854,9,11,1725,1436,1,8,1577189604.100446
172.16.7.13,172.16.4.14,6,22,0,37548,11,14,1270,1688,1,9,1577189604.105419
172.16.7.13,172.16.4.14,6,22,0,37550,12,14,1770,1688,1,10,1577189604.107215
172.16.7.13,172.16.4.11,6,22,0,60864,11,12,1718,1504,1,9,1577189604.115356
172.16.7.13,172.16.4.11,6,22,0,60866,12,14,1770,1688,1,10,1577189604.115874
172.16.7.13,172.16.6.13,6,22,0,33726,12,14,1770,1688,1,10,1577189604.117869
172.16.7.13,172.16.6.13,6,22,0,33728,12,14,1770,1688,1,10,1577189604.119245
