intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.7.13,172.16.1.3,6,22,0,52382,4,4,512,448,0,5,1577190683.097395
172.16.7.11,172.16.6.8,6,40646,1,22,7,7,1438,1140,0,6,1577190683.102129
172.16.7.13,172.16.4.4,6,22,0,52188,1,1,52,52,0,0,1577190683.104461
172.16.7.13,172.16.4.9,6,22,0,49138,4,5,272,340,0,3,1577190683.109456
172.16.7.13,172.16.4.9,6,22,0,49140,5,7,404,444,0,4,1577190683.110433
172.16.7.13,172.16.5.9,6,22,0,44392,3,1,684,52,0,2,1577190683.112207
172.16.7.11,172.16.6.4,6,22,0,56690,6,8,904,592,0,6,1577190683.112361
172.16.7.13,172.16.5.9,6,22,0,44394,4,3,736,220,0,3,1577190683.114374
172.16.7.13,172.16.5.3,6,22,0,45376,4,2,736,104,0,2,1577190683.115017
172.16.7.11,172.16.5.3,6,55952,1,22,6,8,904,592,0,6,1577190683.116528
172.16.7.13,172.16.6.13,6,22,0,40064,3,6,236,424,0,3,1577190683.118491
172.16.7.11,172.16.4.9,6,22,0,45790,3,4,684,224,0,3,1577190683.124212
172.16.7.13,172.16.1.8,6,22,0,35626,5,3,340,908,0,3,1577190683.124666
172.16.7.13,172.16.4.5,6,22,0,39358,4,5,288,1012,0,3,1577190683.125333
172.16.7.13,172.16.5.3,6,22,0,45374,5,4,788,976,0,5,1577190683.126231
172.16.7.11,172.16.6.8,6,22,0,40648,8,8,1482,1264,1,7,1577190683.13349
172.16.7.11,172.16.4.9,6,22,0,45792,4,5,736,996,0,4,1577190683.133948
172.16.7.11,172.16.6.4,6,22,0,56692,5,7,404,540,0,5,1577190683.140126
172.16.7.13,172.16.1.3,6,22,0,52380,2,1,104,116,0,1,1577190683.141257
172.16.7.5,172.16.4.7,6,22,1,40310,3,2,156,184,0,1,1577190683.141982
172.16.7.13,172.16.4.4,6,22,0,52190,1,1,52,52,0,0,1577190683.160814
172.16.7.5,172.16.4.7,6,22,1,40308,1,1,52,132,0,1,1577190683.168121
172.16.7.11,172.16.5.5,6,22,0,54002,8,9,970,1252,1,4,1577190683.170469
172.16.7.13,172.16.1.12,6,22,0,60618,3,2,684,104,0,2,1577190683.1827
172.16.7.13,172.16.1.12,6,22,0,60616,2,5,632,356,0,3,1577190683.183558
172.16.7.11,172.16.1.4,6,22,0,38896,4,6,272,392,0,3,1577190683.208244
172.16.7.11,172.16.1.4,6,22,0,38894,2,5,184,276,0,2,1577190683.209698
172.16.7.11,172.16.5.5,6,22,0,54004,7,8,998,512,1,4,1577190683.217163
172.16.7.11,172.16.5.3,6,22,0,55950,5,7,404,540,0,5,1577190683.217177
172.16.7.11,172.16.5.6,6,22,0,56710,2,7,112,468,1,2,1577190683.23918
172.16.7.4,192.168.1.15,6,22,1,59756,2,2,104,184,0,1,1577190683.244691
172.16.7.4,172.16.1.10,6,22,1,54814,8,7,1112,1446,1,5,1577190683.245823
172.16.7.13,172.16.6.13,6,22,0,40062,4,5,288,340,0,3,1577190683.247988
172.16.7.13,172.16.4.14,6,22,0,43884,3,4,236,304,0,2,1577190683.251705
172.16.7.11,172.16.5.6,6,22,0,56712,6,6,1073,400,1,4,1577190683.253224
172.16.7.13,172.16.4.11,6,22,0,38970,4,4,352,304,0,3,1577190683.255892
172.16.7.13,172.16.4.14,6,22,0,43886,2,3,104,156,0,0,1577190683.255904
172.16.7.13,172.16.5.5,6,22,0,55112,2,4,184,320,0,3,1577190683.263293
172.16.7.11,172.16.3.6,6,22,0,32898,5,6,340,1000,0,3,1577190683.273488
172.16.7.11,172.16.4.14,6,35278,1,22,5,7,886,468,0,5,1577190683.274918
172.16.7.4,172.16.1.10,6,22,1,54816,8,6,1256,840,1,6,1577190683.279642
172.16.7.11,172.16.4.11,6,22,0,58738,4,6,736,408,0,4,1577190683.281246
172.16.7.13,172.16.1.13,6,22,0,44858,2,5,184,340,0,3,1577190683.282173
172.16.7.11,172.16.2.14,6,22,0,56448,5,8,404,600,1,5,1577190683.286908
172.16.7.11,172.16.4.11,6,22,0,58740,4,6,736,1000,0,4,1577190683.288519
172.16.7.13,172.16.4.5,6,22,0,39360,2,2,184,200,0,2,1577190683.293111
172.16.7.13,172.16.6.9,6,22,0,38030,3,4,236,272,0,2,1577190683.307531
172.16.7.4,192.168.1.15,6,22,1,59754,2,1,104,52,0,0,1577190683.318354
172.16.7.13,172.16.6.9,6,22,0,38028,4,4,288,272,0,2,1577190683.319591
172.16.7.13,172.16.5.5,6,22,0,55114,5,2,340,104,0,1,1577190683.323196
172.16.7.13,172.16.1.8,6,22,0,35624,3,3,236,252,0,2,1577190683.325921
172.16.7.11,172.16.3.4,6,22,0,50412,5,6,1334,400,1,4,1577190683.327541
172.16.7.13,172.16.1.13,6,22,0,44860,2,3,104,156,0,0,1577190683.330184
172.16.7.11,172.16.2.14,6,22,0,56450,5,6,788,1000,0,4,1577190683.332318
172.16.7.11,172.16.3.4,6,22,0,50410,5,6,788,488,0,4,1577190683.341199
172.16.7.5,192.168.1.15,6,22,1,35508,1,1,52,132,0,1,1577190683.347445
172.16.7.6,172.16.1.10,6,22,1,56608,3,3,156,236,0,1,1577190683.351889
172.16.7.11,172.16.2.12,6,22,0,53772,9,12,620,1584,1,8,1577190683.358175
172.16.7.6,172.16.1.10,6,22,1,56610,3,3,156,236,0,1,1577190683.363879
172.16.7.11,172.16.2.12,6,22,0,53774,11,14,1718,1688,1,10,1577190683.375077
172.16.7.11,172.16.4.14,6,22,0,35280,3,5,236,276,0,2,1577190683.393182
172.16.7.11,172.16.2.9,6,22,0,44168,11,14,1270,1688,1,9,1577190683.402462
172.16.7.5,192.168.1.15,6,22,1,35510,2,0,104,0,0,0,1577190683.410398
172.16.7.11,172.16.3.6,6,22,0,32896,3,4,236,224,0,2,1577190683.413529
172.16.7.11,172.16.2.9,6,22,0,44170,10,10,1666,664,1,7,1577190683.427557
172.16.7.11,172.16.5.9,6,22,0,49318,9,12,1614,1560,1,9,1577190683.436846
172.16.7.11,172.16.5.9,6,49320,1,22,6,6,1386,504,0,6,1577190683.440665
172.16.7.4,172.16.6.11,6,22,1,39170,10,7,1376,948,1,7,1577190683.446552
172.16.7.4,172.16.6.11,6,39172,0,22,11,7,1460,900,0,7,1577190683.456182
172.16.7.11,172.16.3.5,6,22,0,52428,8,11,1008,1444,0,8,1577190683.462921
172.16.7.11,172.16.3.5,6,22,0,52430,5,8,340,1272,1,5,1577190683.476309
172.16.7.11,172.16.1.8,6,22,0,58458,10,10,1666,1480,1,10,1577190683.48349
172.16.7.11,172.16.1.8,6,22,0,58460,10,9,1056,1332,1,7,1577190683.500875
172.16.7.13,172.16.4.11,6,22,0,38968,2,3,184,156,0,1,1577190683.558562
172.16.7.6,172.16.6.11,6,22,1,49460,14,12,1688,1770,1,10,1577190683.730134
172.16.7.6,172.16.6.11,6,22,1,49462,14,12,1688,1770,1,10,1577190683.750844
172.16.7.3,172.16.6.12,6,22,1,46450,14,12,1688,1770,1,10,1577190683.758095
172.16.7.3,172.16.6.12,6,22,1,46452,14,12,1688,1762,1,10,1577190683.760857
172.16.7.3,172.16.6.11,6,22,1,51342,14,12,1688,1770,1,10,1577190683.889652
172.16.7.3,172.16.6.11,6,22,1,51344,14,12,1688,1770,1,10,1577190683.914406
172.16.7.5,172.16.6.11,6,22,1,43646,14,12,1688,1770,1,10,1577190683.935654
172.16.7.5,172.16.6.11,6,22,1,43648,12,12,1584,1770,1,10,1577190683.953855
172.16.7.5,172.16.6.12,6,22,1,47062,12,12,1584,1770,1,10,1577190684.042295
172.16.7.5,172.16.6.12,6,22,1,47064,12,12,1584,1770,1,10,1577190684.054045
172.16.7.9,172.16.3.10,6,22,0,42480,8,11,1498,1388,1,7,1577190684.312543
172.16.7.9,172.16.3.10,6,22,0,42482,10,13,1658,1556,1,9,1577190684.313096
172.16.7.9,172.16.2.14,6,22,0,45228,12,14,1770,1688,1,10,1577190684.314953
172.16.7.9,172.16.2.14,6,22,0,45230,11,14,1270,1688,1,9,1577190684.316579
172.16.7.9,172.16.5.3,6,22,0,45968,11,14,1270,1688,1,9,1577190684.317146
172.16.7.9,172.16.5.3,6,22,0,45970,12,14,1770,1688,1,10,1577190684.324109
172.16.7.9,172.16.4.14,6,22,0,42116,11,13,1718,1556,1,9,1577190684.327783
172.16.7.9,172.16.4.14,6,22,0,42118,12,14,1762,1688,1,10,1577190684.328391
172.16.7.9,172.16.5.6,6,22,0,57942,10,12,1312,1584,1,9,1577190684.330503
172.16.7.9,172.16.5.6,6,22,0,57944,11,11,2453,1532,1,11,1577190684.331092
172.16.7.9,172.16.5.9,6,22,0,34808,12,13,1770,1636,1,10,1577190684.33239
172.16.7.9,172.16.5.9,6,22,0,34810,11,13,1710,1556,1,9,1577190684.335348
172.16.7.9,172.16.1.4,6,22,0,55392,11,14,1718,1688,1,10,1577190684.335788
172.16.7.9,172.16.1.4,6,22,0,55394,12,14,1770,1688,1,10,1577190684.337622
172.16.7.9,172.16.4.4,6,22,0,57582,12,12,2121,1488,1,10,1577190684.348674
172.16.7.9,172.16.4.4,6,22,0,57584,9,12,780,1584,1,8,1577190684.350398
172.16.7.9,172.16.6.13,6,22,0,37590,11,13,1172,1636,1,9,1577190684.352065
172.16.7.9,172.16.6.13,6,22,0,37592,12,12,1770,1568,1,9,1577190684.352486
172.16.7.9,172.16.1.3,6,22,0,57306,11,14,2005,1688,1,10,1577190684.353407
172.16.7.9,172.16.1.3,6,22,0,57308,10,12,1953,1560,1,9,1577190684.354064
172.16.7.9,172.16.2.9,6,22,0,33900,10,11,1104,1532,1,9,1577190684.355074
172.16.7.9,172.16.4.11,6,22,0,59822,11,13,1270,1636,1,9,1577190684.394175
172.16.7.9,172.16.4.11,6,22,0,59824,12,14,1770,1688,1,10,1577190684.483702
172.16.7.9,172.16.2.9,6,22,0,33902,10,11,1112,1524,0,9,1577190684.484029
172.16.7.6,206.173.4.69,6,7435,1,6009,1,1,40,40,1,0,1577190684.634901
172.16.7.9,19.128.101.67,6,6522,1,17115,1,1,40,40,1,0,1577190684.642157
172.16.7.9,172.16.3.120,6,22,0,12119,0,1,0,40,1,0,1577190684.651757
172.16.7.12,87.157.249.121,6,1897,1,25878,1,1,40,40,1,0,1577190684.659368
172.16.7.4,172.16.5.4,6,22,1,35230,14,12,1688,1770,1,10,1577190684.66534
172.16.7.9,172.16.4.16,6,22,0,26144,0,1,0,40,1,0,1577190684.670331
172.16.7.9,172.16.7.196,6,22,0,26875,0,1,0,40,1,0,1577190684.672033
172.16.7.4,172.16.5.4,6,22,1,35232,14,12,1688,1770,1,10,1577190684.681377
172.16.7.9,172.16.3.217,6,22,0,38460,0,1,0,40,1,0,1577190684.685902
172.16.7.9,172.16.6.194,6,22,0,43258,0,1,0,40,1,0,1577190684.710031
172.16.7.10,28.174.43.80,6,46,1,39829,1,1,40,40,1,0,1577190684.715441
172.16.7.11,241.37.148.163,6,5048,1,48444,1,1,40,40,1,0,1577190684.753818
