intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.7.6,172.16.2.6,6,22,1,57892,6,6,472,456,0,4,1577188903.084012
172.16.7.6,172.16.2.6,6,22,1,57890,6,6,472,456,0,4,1577188903.095843
172.16.7.6,172.16.5.10,6,22,1,46362,12,12,1584,1770,1,10,1577188903.09681
172.16.7.6,172.16.5.10,6,22,1,46364,14,12,1688,1770,1,10,1577188903.097262
172.16.7.3,172.16.5.10,6,22,1,46384,13,12,1636,1770,1,10,1577188903.107132
172.16.7.3,172.16.5.10,6,22,1,46386,13,12,1636,1770,1,10,1577188903.107536
172.16.7.4,172.16.2.3,6,22,1,45564,14,12,1688,1770,1,10,1577188903.449064
172.16.7.4,172.16.2.3,6,22,1,45566,14,12,1688,1770,1,10,1577188903.479701
172.16.7.11,172.16.3.110,6,22,0,21882,0,1,0,40,1,0,1577188903.73326
172.16.7.11,172.16.7.208,6,22,0,44229,0,1,0,40,1,0,1577188903.735663
172.16.7.11,172.16.6.244,6,22,0,23320,0,1,0,40,1,0,1577188903.739516
172.16.7.11,172.16.6.74,6,22,0,65019,0,1,0,40,1,0,1577188903.741037
172.16.7.11,172.16.6.4,6,22,0,45958,12,14,1770,1688,1,10,1577188903.849732
172.16.7.11,172.16.6.4,6,22,0,45960,12,14,1770,1688,1,10,1577188903.850364
172.16.7.11,172.16.1.4,6,22,0,56394,12,14,1770,1688,1,10,1577188903.85117
172.16.7.7,172.16.1.231,6,22,0,51919,0,1,0,40,1,0,1577188903.861378
172.16.7.7,172.16.3.245,6,22,0,2344,0,1,0,40,1,0,1577188903.861725
172.16.7.7,172.16.2.171,6,22,0,13371,0,1,0,40,1,0,1577188903.864901
172.16.7.7,172.16.6.168,6,22,0,56426,0,1,0,40,1,0,1577188903.871248
172.16.7.7,172.16.5.109,6,22,0,29665,0,1,0,40,1,0,1577188903.871264
172.16.7.7,172.16.4.23,6,22,0,51658,0,1,0,40,1,0,1577188903.874392
172.16.7.11,172.16.1.4,6,22,0,56396,12,14,1770,1688,1,10,1577188903.876837
172.16.7.11,172.16.5.3,6,22,0,45218,12,14,1770,1688,1,10,1577188903.915169
172.16.7.11,172.16.5.3,6,22,0,45220,12,14,1770,1688,1,10,1577188903.945229
172.16.7.11,172.16.4.9,6,22,0,35058,12,14,1770,1688,1,10,1577188903.965438
172.16.7.11,172.16.4.9,6,22,0,35060,12,14,1770,1688,1,10,1577188903.995144
172.16.7.11,172.16.6.8,6,22,0,58146,12,14,1770,1688,1,10,1577188904.01518
172.16.7.11,172.16.6.8,6,22,0,58148,12,14,1770,1688,1,10,1577188904.035961
172.16.7.11,172.16.5.5,6,22,0,43270,12,14,1770,1688,1,10,1577188904.059546
172.16.7.11,172.16.5.5,6,22,0,43272,12,14,1770,1688,1,10,1577188904.082014
172.16.7.13,172.19.75.109,6,42038,1,4567,3,4,168,228,0,4,1577188904.086309
172.16.7.11,172.16.5.6,6,22,0,45978,12,12,2505,1584,1,11,1577188904.098447
172.16.7.11,172.16.5.6,6,22,0,45980,12,12,2505,1584,1,11,1577188904.114818
172.16.7.10,172.16.5.125,6,22,0,16092,0,1,0,40,1,0,1577188904.532929
172.16.7.10,172.16.4.210,6,22,0,52663,0,1,0,40,1,0,1577188904.534399
172.16.7.10,172.16.6.239,6,22,0,51675,0,1,0,40,1,0,1577188904.536635
172.16.7.10,172.16.2.86,6,22,0,2676,0,1,0,40,1,0,1577188904.539268
172.16.7.5,58.48.28.177,6,5908,1,52365,1,1,40,40,1,0,1577188904.767875
172.16.7.13,242.228.42.59,6,3415,1,14699,1,1,40,40,1,0,1577188904.819263
172.16.7.3,172.16.6.12,6,22,1,35782,13,12,1636,1770,1,10,1577188904.856009
172.16.7.3,172.16.6.12,6,22,1,35784,13,12,1636,1770,1,10,1577188904.858596
172.16.7.11,217.87.196.33,6,7645,1,33911,1,1,40,40,1,0,1577188904.913927
