intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.7.6,172.16.5.12,6,22,1,32828,3,2,156,184,0,1,1577190443.183332
172.16.7.5,172.16.5.12,6,22,1,34280,2,1,104,52,0,0,1577190443.186675
172.16.7.6,172.16.5.12,6,22,1,32826,3,1,156,52,0,0,1577190443.204214
172.16.7.4,172.16.4.7,6,22,1,45104,14,12,1688,1770,1,10,1577190443.272031
172.16.7.4,172.16.4.7,6,22,1,45106,14,12,1688,1770,1,10,1577190443.279991
172.16.7.5,192.168.1.24,6,22,1,38508,12,12,1760,1730,1,10,1577190443.300037
172.16.7.6,172.16.4.7,6,22,1,54790,14,12,1688,1762,1,10,1577190443.302552
172.16.7.5,192.168.1.24,6,22,1,38510,12,12,1760,1738,1,10,1577190443.304372
172.16.7.4,172.16.5.4,6,22,1,33466,3,2,156,184,0,1,1577190443.330389
172.16.7.6,172.16.4.7,6,22,1,54792,14,12,1688,1770,1,10,1577190443.332137
172.16.7.4,192.168.1.15,6,22,1,58058,12,12,1760,1738,1,10,1577190443.346905
172.16.7.4,192.168.1.15,6,22,1,58060,12,12,1760,1730,1,10,1577190443.349126
172.16.7.4,172.16.5.4,6,22,1,33468,3,2,156,184,0,1,1577190443.365199
172.16.7.5,192.168.1.15,6,22,1,33812,12,12,1760,1730,1,10,1577190443.401777
172.16.7.3,172.16.4.7,6,22,1,45060,14,12,1688,1770,1,10,1577190443.405125
172.16.7.4,192.168.1.24,6,22,1,50594,14,12,1864,1738,1,10,1577190443.405631
172.16.7.5,192.168.1.15,6,22,1,33814,12,12,1760,1738,1,10,1577190443.406145
172.16.7.4,192.168.1.24,6,22,1,50596,13,12,1812,1730,1,10,1577190443.409963
172.16.7.3,172.16.4.7,6,22,1,45062,14,12,1688,1770,1,10,1577190443.41608
172.16.7.3,192.168.1.24,6,22,1,36332,12,12,1760,1738,1,10,1577190443.505405
172.16.7.3,192.168.1.24,6,22,1,36334,11,12,1708,1738,1,10,1577190443.508646
172.16.7.10,172.16.1.9,6,22,0,51629,1,1,40,40,1,0,1577190443.511557
172.16.7.10,172.16.2.82,6,22,0,36735,0,1,0,40,1,0,1577190443.511564
172.16.7.10,172.16.1.88,6,22,0,21357,0,1,0,40,1,0,1577190443.512183
172.16.7.10,172.16.4.181,6,22,0,2906,0,1,0,40,1,0,1577190443.517587
172.16.7.10,172.16.5.81,6,22,0,4684,0,1,0,40,1,0,1577190443.520623
172.16.7.3,172.16.6.3,6,22,1,38180,14,12,1688,1770,1,10,1577190444.24568
172.16.7.3,172.16.6.3,6,22,1,38182,14,12,1688,1770,1,10,1577190444.247674
172.16.7.5,172.16.6.3,6,22,1,47334,14,12,1688,1770,1,10,1577190444.252497
172.16.7.5,172.16.6.3,6,22,1,47336,14,12,1688,1762,1,10,1577190444.262622
172.16.7.4,172.16.6.3,6,22,1,52920,13,11,1636,1638,1,9,1577190444.456162
172.16.7.4,172.16.6.3,6,22,1,52922,13,11,1636,1718,1,10,1577190444.463014
172.16.7.4,172.16.6.10,6,22,1,46560,12,11,1584,1718,1,10,1577190444.525787
172.16.7.4,172.16.6.10,6,22,1,46562,14,12,1688,1770,1,10,1577190444.528513
172.16.7.13,172.19.75.109,6,42038,1,4567,3,4,168,228,0,4,1577190444.709071
172.16.7.6,172.16.6.10,6,22,1,36348,12,10,1424,1602,1,7,1577190444.784078
172.16.7.6,172.16.6.10,6,22,1,36350,14,12,1688,1770,1,10,1577190444.787631
172.16.7.12,172.16.5.5,6,22,0,43396,10,13,1666,1556,1,9,1577190444.934659
172.16.7.12,172.16.5.5,6,22,0,43398,10,13,1666,1556,1,9,1577190444.935155
172.16.7.12,172.16.5.6,6,22,0,32942,7,11,1525,1516,1,8,1577190444.936692
172.16.7.12,172.16.5.6,6,22,0,32944,8,12,2233,1584,1,10,1577190444.937362
172.16.7.12,172.16.6.4,6,22,0,44978,12,14,1770,1688,1,10,1577190444.939224
172.16.7.12,172.16.6.4,6,22,0,44980,7,10,1446,1240,1,6,1577190444.943166
172.16.7.12,172.16.5.3,6,22,0,54880,5,10,894,1240,1,5,1577190444.943622
172.16.7.12,172.16.5.3,6,22,0,54882,11,14,1718,1688,1,10,1577190444.945317
172.16.7.12,172.16.1.12,6,22,0,52402,11,14,1718,1688,1,10,1577190444.946467
172.16.7.12,172.16.1.12,6,22,0,52404,12,14,1770,1688,1,10,1577190444.948193
172.16.7.3,172.16.6.10,6,22,1,38088,13,10,1636,1666,1,10,1577190444.952038
172.16.7.12,172.16.1.3,6,22,0,45998,8,7,1632,572,1,7,1577190444.953089
172.16.7.12,172.16.1.3,6,22,0,46000,11,10,989,1400,1,9,1577190444.955642
172.16.7.3,172.16.6.10,6,22,1,38090,12,8,832,1562,1,8,1577190444.957091
172.16.7.12,172.16.6.9,6,22,0,42654,9,12,1614,832,1,8,1577190444.959582
172.16.7.12,172.16.6.9,6,22,0,42656,7,10,1446,1280,1,6,1577190444.962142
172.16.7.12,172.16.5.8,6,22,0,52642,6,7,1394,388,1,4,1577190444.96239
172.16.7.12,172.16.5.8,6,22,0,52644,5,9,340,1332,0,5,1577190444.97843
172.16.7.12,172.16.4.11,6,22,0,34582,8,9,952,1268,1,6,1577190444.981779
172.16.7.12,172.16.4.11,6,22,0,34584,7,9,892,1268,1,6,1577190444.983239
172.16.7.12,172.16.5.9,6,22,0,50042,10,12,1602,1520,1,8,1577190445.006404
172.16.7.12,172.16.5.9,6,22,0,50044,9,11,1102,1468,1,7,1577190445.06744
172.16.7.12,172.16.2.9,6,22,0,52060,11,11,1270,1516,1,8,1577190445.11024
172.16.7.12,172.16.2.9,6,22,0,52062,10,10,1218,728,1,7,1577190445.125932
172.16.7.12,172.16.6.8,6,22,0,39938,10,12,1218,1584,1,9,1577190445.144107
172.16.7.12,172.16.6.8,6,22,0,39940,9,11,1166,1452,1,8,1577190445.158532
172.16.7.12,172.16.2.13,6,22,0,53118,7,10,516,704,1,5,1577190445.167071
172.16.7.12,172.16.1.8,6,22,0,46006,9,9,1614,1324,1,8,1577190445.184344
172.16.7.12,172.16.2.13,6,22,0,53120,7,9,956,1316,0,7,1577190445.191028
