intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.5.9,172.16.6.11,6,22,1,33506,3,3,156,236,0,1,1577190167.366753
172.16.5.3,172.16.6.11,6,22,1,51796,3,3,156,236,0,1,1577190167.377207
172.16.5.9,172.16.4.8,6,22,1,44522,2,1,104,52,0,0,1577190167.379427
172.16.5.3,172.16.6.11,6,22,1,51798,3,3,156,236,0,1,1577190167.385211
172.16.5.9,172.16.7.7,6,22,1,37574,3,2,156,184,0,1,1577190167.394025
172.16.5.9,172.16.4.8,6,22,1,44520,2,1,104,52,0,0,1577190167.397735
172.16.5.5,172.16.7.7,6,22,1,58866,3,2,156,184,0,1,1577190167.418591
172.16.5.9,172.16.7.7,6,22,1,37572,3,2,156,184,0,1,1577190167.467271
172.16.5.5,172.16.7.7,6,22,1,58868,3,2,156,184,0,1,1577190167.475372
172.16.5.9,172.16.6.11,6,22,1,33504,3,2,156,184,0,1,1577190167.57362
172.16.5.14,172.19.75.109,6,39218,1,4567,3,4,168,228,0,4,1577190167.594817
172.16.5.12,172.19.75.109,6,59242,1,4567,3,4,168,228,0,4,1577190167.704057
172.16.5.12,172.16.1.13,6,22,0,48620,11,12,1718,1584,1,10,1577190167.706851
172.16.5.12,172.16.1.13,6,22,0,48622,11,13,1270,1636,1,9,1577190167.707376
172.16.5.12,172.16.1.8,6,22,0,47610,11,11,1718,1532,1,10,1577190167.707737
172.16.5.12,172.16.1.8,6,22,0,47612,12,13,1762,1636,1,10,1577190167.710174
172.16.5.12,172.16.6.13,6,22,0,44864,12,13,1770,1636,1,10,1577190167.712585
172.16.5.12,172.16.6.13,6,22,0,44866,11,13,1718,1636,1,10,1577190167.719197
172.16.5.12,172.16.4.5,6,22,0,53194,12,14,1770,1688,1,10,1577190167.72213
172.16.5.12,172.16.4.5,6,22,0,53196,11,11,1718,1532,1,10,1577190167.723191
172.16.5.12,172.16.1.12,6,22,0,38918,12,14,1770,1688,1,10,1577190167.724656
